symbol_a,symbol_b,pearson_rho,stage1_rank,n_obs,n_obs_trading_days,data_start,data_end,Q_beta,Q_alpha,Q_beta_sqrt,Q_alpha_sqrt,Q_beta_annualised,Q_alpha_annualised,R,R_sqrt,SNR_beta_R,SNR_alpha_R,log_likelihood,log_likelihood_per_obs,em_iterations,em_converged,beta_initial,beta_final,beta_mean,beta_std,beta_drift_total,alpha_initial,alpha_final,alpha_mean,alpha_std,P_beta_final,P_alpha_final,kalman_gain_beta_mean,kalman_gain_alpha_mean,innovation_mean,innovation_std,spread_mean,spread_std,spread_skew,spread_kurtosis,spread_min,spread_max,spread_autocorr_lag1,ou_kappa,ou_mu,ou_sigma,half_life_minutes,half_life_hours,ou_equilibrium_minutes,spread_stationary_std,ar1_phi,ar1_c,ar1_phi_pvalue,adf_stat,adf_pvalue,adf_critical_1pct,adf_critical_5pct,adf_critical_10pct,hurst_exponent,tradeable,tradeable_reason,runtime_s,skipped,skip_reason,error
BANKBARODA,PNB,0.614537,11,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,3.3521545e-08,3.2719781e-06,0.0001830889,0.001808861,0.003167786,0.30920193,0.00048774186,0.022084879,6.8728045e-05,0.0067084216,125944.42,2.846202,15,False,0.7885963,0.7926805,0.79025158,0.0024563377,0.0040842089,1.8863143,1.9045122,1.8920765,0.01700946,0.00099296583,0.021614566,0.0037618634,0.070949684,1.0706127e-05,0.0015415871,1.5519563e-08,0.0011014518,0.12143574,30.554397,-0.019546078,0.01750022,0.77261713,0.25839277,7.4608025e-07,0.00079098771,2.6825332,0.044708887,8.0475997,0.0011003087,0.77229184,1.6988856e-07,0,-49.897899,0,-3.4304979,-2.8616054,-2.5668048,0.046989536,False,HL=2.7<15,7.24,False,,
BANKINDIA,PNB,0.613609,12,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,9.5186108e-07,2.6677521e-06,0.00097563368,0.0016333255,0.089950872,0.25210257,0.00033813529,0.018388455,0.0028150303,0.0078895999,130180.08,2.941923,15,False,0.87668524,0.9002526,0.89513378,0.0117342,0.02356736,0.74771874,0.78009317,0.75351706,0.012149994,0.0033676916,0.073160282,0.043934072,0.032679334,1.3831537e-05,0.0012174578,6.5393243e-09,0.00076843323,-0.19669493,35.277826,-0.016529519,0.013526583,0.46421706,0.76759724,1.4641301e-07,0.00095188542,0.90300895,0.015050149,2.7090268,0.00076825072,0.46412691,7.8458789e-08,0,-63.439854,0,-3.4304979,-2.8616054,-2.5668048,-0.0045582953,False,HL=0.9<15,6.64,False,,
COCHINSHIP,GRSE,0.606509,13,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.0012692867,0.03562705,7.8784409e-10,7.8784409e-10,74281.641,1.678681,15,False,0.28493013,0.27830465,0.27744891,0.0044081757,0.0066254853,5.1627433,5.1617044,5.1617093,0.00063176205,5.0948465e-09,4.3696111e-08,5.1597345e-05,3.0210791e-06,-0.0054664615,0.042905873,-0.00026813195,0.035638108,-0.23153616,0.45251307,-0.13079172,0.10435784,0.99950304,0.00049192262,-0.0019072529,0.0011236967,1409.0574,23.484289,4227.1721,0.035824959,0.9995082,-9.3799012e-07,0.0005162098,-2.9863327,0.036190617,-3.4304978,-2.8616053,-2.5668048,0.50118791,True,PASS,6.36,False,,
NATIONALUM,VEDL,0.602237,14,44205,117.9,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,8.7708309e-07,1e-12,0.00093652714,1e-06,0.082884352,9.45e-08,0.0001332312,0.011542582,0.0065831661,7.5057497e-09,146292.7,3.309415,15,False,-0.25200067,-0.15142421,-0.18552431,0.029755681,0.10057646,6.917672,6.9176698,6.9176705,6.3376419e-07,1.4643437e-06,4.4204985e-08,0.064906923,2.3414358e-08,3.501199e-05,0.0020454253,-3.1009132e-07,0.0011259884,-0.028753237,152.21133,-0.042594961,0.041398511,0.30296664,1.1942176,-1.7161315e-07,0.0017399617,0.5804195,0.0096736584,1.7412585,0.0011258563,0.30294089,-1.1962451e-07,0,-67.988354,0,-3.430498,-2.8616054,-2.5668048,-0.0094295215,False,HL=0.6<15,7.53,False,,
HINDPETRO,IOC,0.601678,15,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.2662317e-08,1e-12,0.00011252696,1e-06,0.0011965889,9.45e-08,6.3452715e-05,0.0079657212,0.00019955516,1.5759767e-08,169946.08,3.840589,15,False,0.9315768,0.93153239,0.92085524,0.013798986,4.4410889e-05,1.3680224,1.3680168,1.3680187,1.9945669e-06,1.7633775e-07,4.4249698e-08,0.013642685,2.4443997e-07,-1.9520213e-06,0.0022559879,-2.1794427e-07,0.0015973412,-0.039994676,12.618398,-0.020816309,0.016858652,0.82264922,0.19524939,-6.0819099e-07,0.00099811162,3.5500606,0.059167677,10.650182,0.0015972367,0.82262948,-1.0787515e-07,0,-45.131553,0,-3.4304979,-2.8616054,-2.5668048,0.069942877,False,HL=3.6<15,7.35,False,,
BANKBARODA,BANKINDIA,0.601406,16,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00032844145,0.018122954,3.0446827e-09,3.0446827e-09,99230.501,2.242497,15,False,0.82171029,0.80437402,0.80842719,0.0065816423,0.017336272,1.6022832,1.5992238,1.6000284,0.0012947048,5.1828515e-09,4.2792988e-08,9.0591494e-05,9.6915811e-06,-0.0068080777,0.022614715,5.7645068e-05,0.018120977,-0.31769291,-0.062185898,-0.05311768,0.047497947,0.9990238,0.00097659966,4.394012e-05,0.00080089558,709.7557,11.829262,2129.2671,0.018121854,0.99902388,4.289096e-08,1.6804179e-06,-3.5786559,0.0061824395,-3.4304978,-2.8616053,-2.5668048,0.44519033,True,PASS,6.75,False,,
BANKINDIA,UNIONBANK,0.599485,17,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00027407328,0.016555159,3.6486592e-09,3.6486592e-09,101741.16,2.299235,15,False,0.7860109,0.77238348,0.77787446,0.0071265308,0.01362742,1.0137876,1.0116751,1.0126503,0.0013260815,4.7100635e-09,4.2845932e-08,9.4940674e-05,1.0443303e-05,-0.0046278811,0.021506596,1.1141443e-05,0.016556945,-0.39205509,0.091284516,-0.06409607,0.04883417,0.99858654,0.0014192803,-6.7896611e-05,0.00088063006,488.37936,8.139656,1465.1381,0.016528918,0.99858173,-9.6295967e-08,9.9980766e-09,-4.5425465,0.00016461256,-3.4304978,-2.8616053,-2.5668048,0.47504389,True,PASS,6.8,False,,
CANBK,UNIONBANK,0.59555,18,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00041947643,0.020481124,2.3839242e-09,2.3839242e-09,87187.129,1.970331,15,False,0.52137864,0.4881891,0.50101283,0.011719653,0.033189538,2.3922322,2.3862987,2.3888427,0.0023186385,5.4356023e-09,4.2906674e-08,8.44597e-05,8.2086719e-06,-0.014439241,0.025092164,9.0359795e-07,0.020480899,-0.37021023,0.57385271,-0.07429473,0.058457457,0.9991905,0.0008153383,-0.00026107527,0.0008242591,850.13446,14.168908,2550.4034,0.020411731,0.99918499,-2.1277791e-07,1.0170825e-05,-3.6491553,0.0048879084,-3.4304978,-2.8616053,-2.5668048,0.49036609,True,PASS,6.81,False,,
IRFC,RVNL,0.593719,19,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00048120018,0.021936276,2.0781372e-09,2.0781372e-09,89880.325,2.031194,15,False,0.4207917,0.40429217,0.41121481,0.0079095496,0.016499529,2.3327153,2.3296693,2.3309972,0.001491079,5.0788666e-09,4.3121252e-08,7.4723613e-05,7.024664e-06,-0.0077591956,0.027867349,-0.00020193813,0.021942635,-0.63121714,-0.20769762,-0.075350294,0.060545376,0.9993009,0.00069268782,0.00010161883,0.00082063725,1000.6632,16.677719,3001.9895,0.022047911,0.99930755,7.0365753e-08,4.8970986e-05,-3.2858367,0.015523567,-3.4304978,-2.8616053,-2.5668048,0.48125864,True,PASS,6.45,False,,
HINDALCO,NATIONALUM,0.593664,20,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,2.1546032e-07,1e-12,0.00046417703,1e-06,0.020361,9.45e-08,5.0583746e-07,0.00071122251,0.42594773,1.9769196e-06,215841.03,4.877763,15,False,0.40834309,0.43011815,0.41349273,0.0071321552,0.021775064,4.4138423,4.4138387,4.4138397,1.1252488e-06,1.4308475e-08,4.4249835e-08,0.15964543,3.5506878e-07,3.1084744e-06,0.00086090265,-1.7278425e-09,7.0644768e-05,-1.9760659,165.32782,-0.0025829443,0.0019109036,-0.47334087,20.723266,-4.0229533e-09,0.00040062978,0.033447777,0.00055746295,0.10034333,6.2229905e-05,-0.47334002,-4.0229533e-09,0,-80.435331,0,-3.4304979,-2.8616054,-2.5668048,-0.00037921668,False,HL=0.0<15,8.26,False,,
HINDZINC,NATIONALUM,0.592095,21,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,6.194127e-07,1e-12,0.00078702776,1e-06,0.0585345,9.45e-08,0.000120211,0.010964078,0.0051527123,8.3187063e-09,149223.49,3.372282,15,False,-0.13609655,-0.082243596,-0.099066194,0.016176667,0.053852954,6.9692513,6.9692491,6.9692497,6.446103e-07,1.1548016e-06,4.4249985e-08,0.05819497,2.6455985e-08,2.0636236e-05,0.0020911762,-2.9714043e-07,0.0011773815,-0.27119674,150.4578,-0.041622934,0.043471361,0.3459623,1.0614265,-2.7281001e-07,0.0017154613,0.65303364,0.010883894,1.9591009,0.0011773917,0.34596196,-1.7842813e-07,0,-68.239868,0,-3.4304979,-2.8616054,-2.5668048,-0.0095594912,False,HL=0.7<15,7.35,False,,
HCLTECH,TCS,0.590445,22,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00061028763,0.024704,1.6385716e-09,1.6385716e-09,81507.327,1.841974,15,False,0.49997813,0.47749753,0.49324574,0.0076629597,0.022480596,3.3743078,3.371245,3.3733121,0.0010165892,3.8344742e-09,4.3623172e-08,6.1667394e-05,4.6807383e-06,-0.012866521,0.03133194,-8.3768239e-05,0.024769479,0.45308832,0.045756913,-0.061829773,0.07498075,0.99947217,0.00052777851,-0.00046493166,0.00080489451,1313.3297,21.888828,3939.989,0.024774113,0.99947236,-2.453162e-07,0.00031749102,-3.3003869,0.014861187,-3.4304978,-2.8616053,-2.5668048,0.4942343,True,PASS,7.03,False,,
HCLTECH,INFY,0.589673,23,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00086923613,0.029482811,1.1504354e-09,1.1504354e-09,70411.831,1.591228,15,False,0.27299045,0.24061997,0.26115222,0.011178776,0.032370476,5.3911791,5.3862111,5.3891925,0.00164657,4.9192448e-09,4.3533432e-08,5.781716e-05,4.1575603e-06,-0.022622105,0.035365325,-0.00025512205,0.029527741,0.57954116,-0.0032473011,-0.070727687,0.087458447,0.99957392,0.00041703607,-0.0015831735,0.00086206921,1662.0797,27.701328,4986.2391,0.029849725,0.99958305,-6.6010279e-07,0.0013298555,-2.9047878,0.04479407,-3.4304978,-2.8616053,-2.5668048,0.48926715,False,HL=1662>1440,6.84,False,,
ADANIENT,ADANIGREEN,0.584965,24,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.1300928e-07,9.193372e-07,0.00033616853,0.00095882073,0.010679377,0.086877365,4.5078871e-07,0.000671408,0.25069235,2.0393971,219014.58,4.949482,15,False,0.61082636,0.60219742,0.60689465,0.011014989,0.0086289474,3.4814472,3.6076751,3.4932365,0.054423975,0.00021666513,0.011512415,0.11684464,0.19809912,1.4554567e-06,0.00086565804,1.4824823e-10,7.5446853e-05,-0.59709656,37.054772,-0.0022235611,0.0013895886,-0.48140692,20.723266,3.3210747e-09,0.00042572553,0.033447777,0.00055746295,0.10034333,6.6128032e-05,-0.4813972,3.3210747e-09,0,-79.082046,0,-3.4304979,-2.8616054,-2.5668048,-0.00025198616,False,HL=0.0<15,7.5,False,,
BDL,HAL,0.582577,25,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1.9454082e-07,1e-06,0.00044106782,9.45e-08,0.018384108,0.0013362176,0.03655431,7.4838112e-10,0.00014559068,104155.5,2.353797,15,False,1.8901603,1.889993,1.890011,1.2712835e-05,0.00016730758,-8.5674474,-8.6686918,-8.5685213,0.077217508,2.7211867e-07,3.5189351e-05,1.4951954e-05,0.011960312,-0.00019575669,0.0090260571,5.6129957e-06,0.0064726494,0.050319647,8.5849683,-0.051037225,0.091181889,0.97311199,0.027229936,-6.9941862e-06,0.0015112139,25.455336,0.4242556,76.366008,0.0064757137,0.97313746,-1.8788164e-07,2.612435e-132,-22.243008,0,-3.4304979,-2.8616053,-2.5668048,0.3864364,True,PASS,7.69,False,,
BEL,HAL,0.580419,26,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.1016388e-07,1e-12,0.00033190944,1e-06,0.010410486,9.45e-08,4.9235267e-07,0.00070167847,0.22374993,2.0310644e-06,214796.48,4.854158,15,False,1.1554681,1.159551,1.1674251,0.011578041,0.0040829294,-3.6963651,-3.6963568,-3.6963595,2.5218636e-06,7.2143649e-09,4.4249943e-08,0.11292106,2.2619639e-07,7.6998525e-07,0.00098706324,3.8859495e-09,7.8237878e-05,-0.50642739,123.65841,-0.0028954917,0.002613517,-0.47565073,20.723266,9.5516955e-09,0.00044305218,0.033447777,0.00055746295,0.10034333,6.8819384e-05,-0.47564238,9.5516955e-09,0,-78.551235,0,-3.4304979,-2.8616054,-2.5668048,-0.00028357747,False,HL=0.0<15,7.19,False,,
BEL,MAZDOCK,0.576508,27,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,3.9817531e-07,1e-12,0.00063101134,1e-06,0.037627567,9.45e-08,1.4098399e-06,0.0011873668,0.28242591,7.0930042e-07,190970.33,4.315714,15,False,1.181175,1.1945433,1.1970436,0.0099423203,0.013368271,-3.2875287,-3.2875235,-3.2875252,1.6090146e-06,2.2633973e-08,4.424997e-08,0.12146411,9.1046874e-08,2.3980783e-06,0.0011684766,7.0058614e-09,8.6601818e-05,0.060112586,44.684234,-0.0019321445,0.0018248186,-0.50653366,20.723266,1.5638852e-08,0.00048070198,0.033447777,0.00055746295,0.10034333,7.4667534e-05,-0.50652227,1.5638852e-08,0,-80.217498,0,-3.4304979,-2.8616054,-2.5668048,0.00029848563,False,HL=0.0<15,7.77,False,,
ADANIENSOL,ADANIGREEN,0.574837,28,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,8.6299838e-05,1e-06,0.0092897706,9.45e-08,8.1553347,0.051384984,0.22668256,1.9460938e-11,0.0016794758,24088.115,0.544364,15,False,1.9421759,1.9409657,1.9409659,1.8421583e-07,0.0012102102,-6.5678347,-6.8576983,-6.473065,0.18130404,3.6586605e-05,0.004003347,9.0812868e-06,0.040122131,-0.0001666808,0.0065494933,2.9588929e-06,0.004505563,-0.12408505,9.8420401,-0.06528154,0.042557597,0.89182895,0.11436738,4.830211e-06,0.0021557937,6.0607071,0.10101178,18.182121,0.0045075559,0.89193022,5.2199985e-07,0,-36.673229,0,-3.4304979,-2.8616054,-2.5668048,0.16328426,False,HL=6.1<15,7.89,False,,
COCHINSHIP,MAZDOCK,0.574113,29,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1.2020893e-07,1e-12,0.00034671159,1e-06,0.011359744,9.45e-08,5.4700965e-07,0.000739601,0.21975651,1.8281213e-06,212842.13,4.809992,15,False,1.4077678,1.4110092,1.4125426,0.005885566,0.0032413916,-3.6898028,-3.6897862,-3.6897913,4.9992979e-06,9.1089026e-09,4.4249904e-08,0.11979026,2.9432476e-07,5.9887159e-07,0.0013932082,9.4042079e-09,0.00012928185,0.037117462,35.702247,-0.0028516125,0.0031691708,-0.48569011,20.723266,2.0613033e-08,0.00072753499,0.033447777,0.00055746295,0.10034333,0.00011300816,-0.4856987,2.0613033e-08,0,-80.891522,0,-3.4304979,-2.8616054,-2.5668048,-0.00016010419,False,HL=0.0<15,7.43,False,,
IREDA,IRFC,0.572724,30,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,8.2805457e-07,1e-12,0.00090997504,1e-06,0.078251157,9.45e-08,1.2919252e-06,0.0011366289,0.64094622,7.7403863e-07,196845.53,4.448487,15,False,1.2806384,1.3072757,1.2822539,0.016548033,0.026637347,-1.1453317,-1.1453252,-1.1453272,1.9368943e-06,5.9264012e-08,4.424992e-08,0.20026811,1.5240223e-07,2.8653871e-06,0.0010463989,8.9956121e-09,9.3046517e-05,0.57706753,90.429501,-0.0030292108,0.003134184,-0.48993123,20.723266,1.3358713e-08,0.00052221086,0.033447777,0.00055746295,0.10034333,8.1115118e-05,-0.48993338,1.3358713e-08,0,-80.428339,0,-3.4304979,-2.8616054,-2.5668048,-0.00010730633,False,HL=0.0<15,7.25,False,,
DLF,GODREJPROP,0.572421,31,44250,118,2025-12-02 09:15:00+05:30,2026-05-26 15:29:00+05:30,1e-12,1e-12,1e-06,1e-06,9.45e-08,9.45e-08,0.00034420743,0.018552828,2.9052249e-09,2.9052249e-09,94444.81,2.134346,15,False,0.33988168,0.32205149,0.32791582,0.0075756801,0.01783019,3.9701322,3.9676237,3.9685109,0.0011049068,3.1993445e-09,4.3551808e-08,7.549983e-05,6.6128041e-06,-0.0074477782,0.024237505,-9.0812898e-05,0.01855479,-0.4369535,0.36718301,-0.076589113,0.043368143,0.99885351,0.0011487865,-0.00014702702,0.00088875999,603.37339,10.056223,1810.1202,0.018541713,0.99885187,-1.6880567e-07,2.2771551e-07,-4.2686158,0.00050320871,-3.4304979,-2.8616053,-2.5668048,0.4782223,True,PASS,7.6,False,,
