pair,fsl_net_pnl,fsl_trades,wc_net_pnl,wc_trades,dr_net_pnl,dr_trades
BANKBARODA-UNIONBANK,-7758.3165149999495,341,-2014.6699400000425,203,-2890.0710750000353,205
IRCON-RVNL,-17322.928865000045,404,-10973.2807249999,250,-7768.952029999891,285
BANKINDIA-INDIANB,-10951.213919999984,267,-6788.285215000007,202,-7132.521220000006,203
ADANIENT-ADANIPORTS,-18944.218849999925,392,-22094.7132499999,196,-18228.701350000018,215
DATAPATTNS-GRSE,-25528.212300000032,238,-22637.64879999996,180,-24644.195849999982,186
HCLTECH-TCS,-14058.509350000046,446,-7529.922099999995,211,-8857.64489999996,229
BSE-CDSL,-24296.28599999989,392,-12694.864949999928,195,-10965.984149999947,196
IREDA-RVNL,-12668.12875999997,372,-12218.195935000045,215,-12703.114299999994,229
HINDZINC-NATIONALUM,-18106.795274999924,500,-28407.077775000034,171,-17965.063574999982,195
GRAPHITE-HEG,-13012.198624999955,551,-878.337125000071,235,1164.0012749999532,239
INDIANB-UNIONBANK,-11882.795474999895,358,-3449.623474999944,209,-5352.6817249999185,215
HINDALCO-NATIONALUM,-26357.38334999996,630,-1190.556324999985,220,-3812.96407499997,234
IRCON-RAILTEL,-9658.475374999929,410,161.21754000000146,244,-10623.991015000032,325
COFORGE-PERSISTENT,-21545.153999999835,469,-3020.0974499999857,202,-720.2890999999581,229
HCLTECH-INFY,-15983.72144999987,428,-3910.08124999995,216,-8110.014049999988,224
IRCON-IRFC,-3000.5096450000374,475,1668.0670499999924,290,3284.20455999992,300
CHENNPETRO-MRPL,-8731.804074999975,344,-9087.038800000018,203,-8065.742899999938,208
NBCC-RVNL,-9667.526020000148,333,-13684.977154999959,203,-13591.418589999987,213
JSWSTEEL-TATASTEEL,-21443.485999999815,690,-4296.639549999963,216,-4048.607099999972,225
TCS-WIPRO,-14369.249049999966,382,-5420.2076000000525,174,-9138.83785000001,209
CANBK-INDIANB,-20216.690580000144,245,-17935.995755000065,185,-15847.306935000073,190
NMDC-TATASTEEL,-27555.82646500013,611,-11421.884745000008,214,-13506.661585000005,224
DLF-PRESTIGE,-14046.594475000073,466,-5126.534250000011,235,-1160.3456249999872,266
INFY-WIPRO,-16208.626049999877,355,-4994.399299999887,181,-6080.283800000009,193
IREDA-NBCC,-25439.05982000004,382,-4515.752559999965,203,-5890.034730000005,201
ADANIENSOL-ADANIENT,-18957.934375000004,341,-35916.81989999998,182,-34565.982624999946,190
IREDA-RECLTD,-18398.08817500009,260,-8043.6840700000685,194,-9709.739875000027,197
JINDALSTEL-TATASTEEL,-25026.87879999978,689,-17897.811600000015,251,-18914.606799999943,256
CANBK-SBIN,-7367.662494999981,377,-5826.648269999985,206,-3377.3887499999873,211
IRFC-NBCC,-24978.53336999997,398,-14686.89605499991,208,-12316.010589999896,212
BANKBARODA-INDIANB,-9436.302625000033,277,-8218.846840000031,191,-2994.3310250000504,200
HCLTECH-TECHM,-9846.561149999932,322,-834.7305999999153,191,-1220.5025499999138,198
DLF-LODHA,-15265.659674999872,469,-4686.3722000000025,222,-3988.129525000033,224
INDIANB-PNB,-19484.33157499997,246,-13860.187199999977,187,-18081.03559999999,186
GODREJPROP-PRESTIGE,-13864.734849999919,450,-8181.3987000000325,221,-6058.952049999979,252
BDL-COCHINSHIP,-18660.919649999923,459,-2305.5971999999083,221,-1983.1473999999052,221
BEL-GRSE,-18223.758200000055,242,-17765.86994999994,185,-19672.47042499996,185
DATAPATTNS-MAZDOCK,-21444.908149999945,262,-2939.012799999986,190,-8707.93699999995,202
TCS-TECHM,-8026.63419999999,310,-5789.356800000022,182,-5688.501800000026,197
HINDALCO-VEDL,-19012.99210000006,476,1707.1651499999552,203,-857.5624250000001,222
IRCON-JWL,-11930.837304999932,300,-8910.285844999995,210,-8173.687329999964,228
GODREJPROP-LODHA,-20671.881799999937,423,1818.303599999992,221,-4135.870150000019,249
BANKBARODA-SBIN,-10055.74840500002,369,-4830.298980000032,198,-6462.582085,216
HINDALCO-TATASTEEL,-27773.00340000006,520,-9754.448450000113,184,-9786.57880000005,213
INFY-TECHM,-13806.233699999873,299,-7401.618599999947,188,-6202.048149999928,191
COFORGE-MPHASIS,-23.406899999778034,450,-8177.17909999995,193,-525.6703499999421,210
ABCAPITAL-LTF,-263.9662750000243,346,-830.8434499999548,218,-4176.588650000004,221
GRSE-HAL,-20494.433749999873,285,-26822.77784999992,175,-22416.69579999987,193
NATIONALUM-NMDC,-44858.32220000016,338,-24256.635950000044,190,-25259.229325000022,193
DLF-OBEROIRLTY,-12031.365049999917,309,-7374.707575000013,208,-8987.00550000005,225
JBCHEPHARM-TORNTPHARM,653.7293500001197,691,-1280.9338499998576,406,854.9472000001188,667
GODREJPROP-OBEROIRLTY,-20362.760899999925,322,-15301.415099999977,202,-15011.695249999984,204
IRFC-RECLTD,-18758.24679999997,278,-16587.79391499995,201,-19133.930314999932,204
RAILTEL-RVNL,4220.533289999814,389,7243.344174999962,284,6695.5074649999115,290
BSE-MCX,-27682.68584999994,540,-11470.19844999997,182,-11266.651449999934,193
HCLTECH-WIPRO,-17149.694999999923,402,1741.0336000000843,192,-5997.735049999921,193
MAZDOCK-RVNL,-19656.911599999996,331,-25311.965950000034,199,-29869.21910000003,199
INOXWIND-SUZLON,-27140.467985000054,361,-1351.554745000003,196,-7773.343810000011,203
INOXWIND-IREDA,-30031.28715,273,-17265.583260000043,181,-14692.455395000012,184
HUDCO-IREDA,-18022.783060000016,280,-10191.756819999991,199,-7171.34421499998,206
PNB-SBIN,-10303.402649999984,361,-13720.97583000003,190,-11476.971310000024,218
COFORGE-INFY,440.0820000001968,412,-5511.264949999952,191,-3523.0726499999764,195
TECHM-WIPRO,-13914.261650000015,397,-9306.07650000003,188,-9068.017200000013,188
MPHASIS-PERSISTENT,-10034.114800000016,519,-4796.751850000062,200,-1386.9090499999893,236
IRFC-RAILTEL,-7412.151699999989,382,-1565.1939049999673,238,-4883.797829999956,266
SAIL-TATASTEEL,-29284.55031000017,686,-5799.775634999951,185,-10023.071499999942,239
COFORGE-TECHM,-3523.4211999999397,314,-2913.4241999999795,180,-4581.152449999864,183
BAJAJFINSV-BAJFINANCE,-1489.3595999999925,411,2116.0927000000556,226,2166.668450000001,248
CDSL-IREDA,-4965.979149999914,276,-5932.9677999999385,196,-5633.8239499998845,194
ANGELONE-BSE,-20586.067219999997,339,-30779.387359999986,175,-31361.538724999962,176
COFORGE-TCS,-12529.041149999804,390,1238.3614000000289,184,-2455.431149999955,180
BDL-DATAPATTNS,-21393.001649999846,262,-20144.84100000005,177,-21399.72465000003,176
COCHINSHIP-DATAPATTNS,-18697.07299999998,262,207.317300000057,189,-2201.2704999999733,192
BANKINDIA-SBIN,-4138.264494999904,374,-633.8551000000225,205,-4473.047434999993,215
ADANIGREEN-ADANIPORTS,-21999.564075000002,407,-19316.604999999996,214,-18313.995450000017,223
INOXWIND-NBCC,-27804.61901500001,395,-9923.075925000074,189,-21924.41421000009,198
HEROMOTOCO-TVSMOTOR,-7564.757749999995,328,-8062.807749999995,191,-9620.003250000007,201
IREDA-PFC,-26231.006165000064,364,-24246.533245000013,210,-28303.57303500006,217
JINDALSTEL-JSWSTEEL,-28193.286350000035,354,-20703.49244999995,207,-21721.048499999924,214
LODHA-PRESTIGE,-7931.625524999938,446,12791.77494999989,232,3526.273699999909,259
JINDALSTEL-NMDC,-16353.897050000018,423,-20348.343949999922,186,-24902.292550000035,192
IREDA-JIOFIN,-33050.45590000006,527,-13012.698025000072,217,-12922.487190000058,222
HINDCOPPER-HINDZINC,-16836.19224999997,536,1499.3595000000587,194,-2077.3131750000603,227
IRCON-RITES,-485.2698099999943,434,-4736.773614999959,306,-4794.2640849999925,312
IRFC-MAZDOCK,-13196.222409999973,287,-6650.43906499999,196,-10597.444460000013,201
IRCON-TITAGARH,-12231.525369999992,337,87.6206850000217,217,-2786.0469449999846,214
HINDALCO-HINDZINC,-17497.777324999886,483,-8765.183700000058,195,-12243.173725000013,199
COFORGE-WIPRO,-18094.14924999987,374,-19476.054400000008,178,-13672.747449999999,180
IRCON-IREDA,4341.105395000011,313,-4297.335909999879,220,-4963.576529999866,228
IREDA-SUZLON,-23738.48577499992,355,-8190.467494999909,210,-8132.706229999896,213
ANGELONE-CDSL,-34549.78181500001,428,-19357.096640000054,192,-20646.581725000033,208
NATIONALUM-TATASTEEL,-36476.60932500001,516,-30281.11870000012,167,-34976.95707500003,181
CDSL-IRFC,-7758.642049999892,352,-11230.264450000002,194,-15173.038749999952,197
EICHERMOT-HEROMOTOCO,-21610.810499999985,453,-13692.589750000008,184,-9487.691250000005,207
HUDCO-NBCC,-14205.609630000043,399,-11183.221659999977,205,-11253.184050000033,217
OBEROIRLTY-PRESTIGE,352.00040000006993,451,7999.588350000013,207,14303.34810000009,231
NTPC-POWERGRID,-22678.21034999998,478,-13055.678950000041,196,-15106.962349999962,253
COFORGE-HCLTECH,-7632.44454999995,389,-9619.379649999924,184,-7734.551649999874,191
HUDCO-IRFC,-4818.82048499996,371,-8832.280710000006,206,-8418.766795000021,213
ADANIGREEN-ADANIPOWER,-13616.29044999995,371,-28799.949624999983,197,-33045.88884999999,196
BAJAJ-AUTO-HEROMOTOCO,-16358.188749999992,510,-12938.912999999997,180,-8101.926499999998,204
TATASTEEL-VEDL,-27762.543785000133,458,-9659.332915000035,183,-11965.10399000004,188
COFORGE-OFSS,-15598.29274999988,427,-8583.458600000013,182,-7041.225999999993,205
SBIN-UNIONBANK,-26584.053400000055,333,-22737.33259999993,200,-22076.922624999996,203
MAZDOCK-NBCC,-39504.96494999989,345,-31434.832749999936,194,-24829.981150000036,197
COFORGE-LTM,-18127.85309999995,535,3791.03199999999,208,-4138.784399999987,285
IREDA-MAZDOCK,-16841.335565,261,-14378.89336,181,-18040.51045499998,183
INOXWIND-IRFC,-19411.235509999962,345,-7506.063380000056,189,-17869.488015000054,200
JWL-TITAGARH,-13505.16395500002,348,8684.258149999914,229,9123.57473499994,234
BEML-COCHINSHIP,-9273.361499999966,461,-3125.3523499999455,216,-9938.717900000029,239
PERSISTENT-TECHM,-2859.9499499999947,319,2316.478700000018,196,3698.492100000025,198
BEL-COCHINSHIP,-13912.362450000026,421,-15085.379324999978,188,-10707.287999999993,215
RVNL-TITAGARH,-5180.35267000001,318,-1003.6768900000316,215,-1875.316939999966,233
IRFC-PFC,-20309.269824999952,373,-14726.326864999999,200,-18521.51334499993,224
JWL-RVNL,-18336.872725000096,366,-22326.741715000077,233,-26679.72536000001,240
BEML-MAZDOCK,-2667.6165999999494,298,5548.798100000113,196,7148.038000000077,197
BDL-RVNL,-17310.531299999944,317,-16936.96269999998,198,-18404.556799999955,200
NMDC-VEDL,-15125.443200000062,490,-9285.630534999988,201,-8788.10298999998,211
COCHINSHIP-HAL,-17801.76054999991,311,-20057.50529999991,194,-16513.89654999997,203
BEML-GRSE,-8252.450450000068,272,-19615.149049999993,193,-21826.129950000002,197
IRFC-SUZLON,-24835.214405000042,336,-9406.95329999997,202,-11138.592980000014,203
NBCC-RECLTD,-18929.370885000004,251,-15622.799825000016,188,-14635.486960000031,189
CDSL-NBCC,-17523.145299999753,382,-8483.17894999997,192,-12876.665399999963,209
BAJAJ-AUTO-EICHERMOT,-15209.900000000012,329,-17491.56800000001,188,-15942.151750000014,189
EICHERMOT-TVSMOTOR,-13862.757000000001,331,-4493.639000000003,204,-5080.870750000004,210
MAZDOCK-SUZLON,-26121.476049999932,334,-10889.314699999886,192,-13329.451449999966,191
LODHA-OBEROIRLTY,-19189.27815000002,323,-14274.30022499997,200,-16190.286774999948,202
JIOFIN-NBCC,-12571.416614999982,373,-9588.627749999985,204,-9987.941400000007,205
M&M-MARUTI,-26042.297399999916,530,-14827.202949999959,237,-13504.45094999998,245
JBMA-OLECTRA,5379.563775000028,406,9043.31314999999,231,8696.13080000001,236
ADANIENT-AMBUJACEM,-24660.28799999997,436,-25697.547849999995,198,-25535.172249999963,206
OFSS-PERSISTENT,-28424.008999999995,465,-10982.8335,214,-11524.658000000001,214
PREMIERENE-WAAREEENER,14566.01475000001,291,16988.56615000006,213,23733.48717500001,224
NBCC-SUZLON,-11471.796644999948,347,-3272.0993600000065,199,-2195.197820000013,200
MPHASIS-TECHM,-1423.1734000000233,375,2771.1465500000177,206,1549.782599999984,222
MAZDOCK-SOLARINDS,-23271.199749999912,300,-22856.891749999973,196,-21994.32079999998,197
IRFC-JIOFIN,-33537.14757000002,516,-14610.892094999996,194,-22791.90977999998,217
HINDCOPPER-NATIONALUM,-22346.564774999897,542,-5713.255850000024,193,-8896.050200000022,210
CDSL-JIOFIN,-17250.800249999797,583,-10927.44435000003,199,-7316.828000000002,227
IDEA-INDUSTOWER,-21608.13396999998,314,-9387.768074999974,202,-11415.992259999966,207
CANBK-RECLTD,-17880.01024000009,234,-19601.43830000008,179,-17800.389195000054,179
BDL-NBCC,-33545.6165,353,-19351.19924999999,184,-19446.223499999982,183
BEL-DATAPATTNS,-13114.38887500004,265,-11450.965774999971,191,-12876.97164999998,188
HINDZINC-NMDC,-27930.326749999855,335,-29717.37864999998,173,-29492.374825000003,179
MPHASIS-OFSS,-9754.723950000094,455,-3204.949099999989,205,-5709.603000000019,235
INFY-PERSISTENT,-26247.530299999995,424,-14539.23929999991,183,-16607.683299999946,188
INOXWIND-RVNL,-18328.437340000048,331,-16390.06242000003,182,-14417.453740000079,187
JIOFIN-RECLTD,-18417.491805000034,262,-10134.48408000008,183,-11322.229410000105,182
KPITTECH-TATAELXSI,-17134.406750000056,437,-2749.904074999982,202,-3301.660425000011,204
JWL-RAILTEL,-504.42721000007987,373,10284.434099999962,242,6845.469239999962,263
PERSISTENT-TCS,-3611.2561000000333,396,1516.0738999999794,185,6219.035349999989,196
RECLTD-RVNL,-16758.486474999983,326,-19127.015925000094,184,-17336.673875000073,189
NMDC-SAIL,-16285.381200000185,528,-15021.758084999947,196,-14873.063909999957,198
HINDALCO-NMDC,-18438.64790000004,363,-16006.751074999935,183,-15992.499275000002,183
KEI-POLYCAB,-3910.7654499999016,332,-242.92970000003334,231,601.7275499999778,241
ADANIGREEN-TATAPOWER,-31293.853475000073,278,-25826.97582500004,168,-29829.17507500002,176
HCLTECH-PERSISTENT,-28658.033999999876,471,-6431.276349999958,202,-9373.395999999939,223
BAJAJ-AUTO-TVSMOTOR,-12375.954250000004,313,-2786.424,190,-1652.5784999999978,211
COFORGE-TATAELXSI,-27831.75279999989,380,-26962.503450000026,178,-24013.673350000012,177
BDL-BEML,-5075.206850000006,266,-3564.3379499999673,199,-3596.4840500000246,202
IRFC-TITAGARH,-8511.95948000003,318,-3785.771639999989,203,-4735.819704999999,205
INOXWIND-MAZDOCK,-27414.393469999988,258,-17442.71755999999,176,-14880.139144999994,177
OIL-ONGC,-27794.442775000058,547,-6987.78582500002,200,-4331.41340000004,209
HUDCO-RECLTD,-11642.590945000025,281,-20834.63152999995,190,-23543.398474999944,192
IRCON-NBCC,-24695.863260000027,396,-11417.508104999983,208,-13914.697084999993,207
DLF-NBCC,-10561.613325000051,404,-8875.817325000013,208,-7553.276674999988,224
IRFC-JWL,-13687.237990000009,282,-11133.921129999964,213,-12076.961780000012,215
CDSL-MCX,-21462.565099999905,511,-21148.331049999888,206,-18157.71164999997,224
M&M-TVSMOTOR,-16249.878149999993,313,-11898.393499999978,197,-13075.707799999984,199
BDL-IREDA,-18385.983949999987,276,-10175.69070000007,204,-5486.648749999968,209
PERSISTENT-WIPRO,-7272.077499999961,388,-6406.711500000012,193,-5691.266299999976,201
EICHERMOT-MARUTI,-22951.691,541,-7582.392499999996,185,-9399.374749999994,208
MPHASIS-TCS,-8764.387950000008,445,2428.340399999941,219,3281.002299999973,230
ACC-AMBUJACEM,-671.7867499999102,561,1732.7712499999852,270,690.7266000000527,385
DATAPATTNS-HAL,-15687.222250000006,295,-24951.537550000066,176,-25887.957300000016,185
COFORGE-KPITTECH,-28205.75894999975,663,-21210.211999999923,198,-17675.237249999867,219
LTM-PERSISTENT,-8427.064850000079,515,-3920.904099999976,191,-8149.2672000000075,225
IRCTC-IRFC,-13732.204549999966,384,-11988.76255000002,228,-10589.882675000019,231
RECLTD-TATAPOWER,-21356.93520000003,268,-15746.223049999957,174,-16220.62137499997,174
DLF-PHOENIXLTD,-22888.657849999934,382,-15261.813450000009,194,-14922.53117500007,197
RVNL-SUZLON,-3568.1367899999777,350,9704.263540000029,212,11490.435195000056,212
EICHERMOT-M&M,-21360.531999999985,457,-4504.765999999995,182,-523.435999999987,213
DLF-IREDA,-6770.392300000022,281,-6216.100525000034,207,-6851.713375000007,207
ADANIENSOL-ADANIPOWER,-5896.601399999911,340,-26490.824149999906,186,-30999.537825,198
COCHINSHIP-RVNL,-13932.303899999977,321,-14436.450799999966,194,-16238.567649999917,205
GODREJPROP-PHOENIXLTD,-14075.548749999974,387,-12546.961849999992,193,-8936.887350000015,200
MOTHERSON-TMPV,-26.28256000001238,314,-4318.413395000037,207,-2720.1417900000315,214
ADANIENSOL-ADANIPORTS,-16172.904524999982,369,-21514.35957499998,194,-24617.553125000006,200
BDL-SOLARINDS,-23984.446849999986,295,-24334.467949999937,182,-21629.598099999894,191
IREDA-RAILTEL,-13691.634570000073,348,-4074.137785000001,210,-6504.130389999998,222
OFSS-TATAELXSI,-20863.400000000005,398,-13303.949249999998,193,-10237.047749999996,207
BEL-RVNL,-13187.942625000014,300,-14337.114049999967,195,-14797.404299999982,199
JIOFIN-RVNL,-17535.98885000009,314,-11671.909994999984,193,-10631.977140000012,192
JSWSTEEL-NMDC,-19055.262099999847,402,-8495.701249999922,193,-6980.902749999957,201
NHPC-TATAPOWER,-7488.244220000035,304,8444.308604999984,215,4595.027585000034,215
HAL-RVNL,-10538.32185000008,316,-6455.016550000097,201,-7241.782850000032,206
LTM-MPHASIS,-6375.763650000175,456,-3387.1368000000393,206,-1637.7064000000282,272
HINDALCO-JSWSTEEL,-18449.663175000027,276,-12179.139700000014,177,-12592.872100000059,177
LTM-TECHM,-9165.436150000034,336,-7958.194099999981,197,-6910.720299999984,196
GRSE-ZENTEC,-34831.72204999997,315,-29892.911299999952,197,-26535.30494999995,205
IREDA-TATAPOWER,-15646.917919999949,287,-7870.882185000088,188,-9284.458070000066,199
INFY-MPHASIS,-12145.480299999894,408,-4819.947549999978,215,-14980.323199999955,232
MPHASIS-WIPRO,-8984.096199999885,401,-4284.786049999981,210,-9578.708749999982,215
HDFCLIFE-SBILIFE,-6491.891825000002,282,-10512.0799,210,-10933.654799999988,211
CANBK-PFC,-24355.25303499999,339,-16968.847444999956,177,-20471.06185999999,196
HEROMOTOCO-M&M,-22672.82025000001,443,-15787.576499999996,212,-15110.346000000009,236
CAMS-CDSL,-9032.96776499989,435,-1968.365110000018,211,-1384.6877650000133,236
RITES-RVNL,1894.5551050001523,379,2152.7114649999767,249,4277.636309999962,264
KAYNES-PGEL,-3081.3419999999596,256,-8312.270600000003,187,-7977.519650000004,188
CDSL-RECLTD,-11504.029899999909,252,-15635.625649999994,171,-15231.107299999989,172
BANKINDIA-CENTRALBK,-8404.30224500008,273,-22439.390464999993,203,-23830.688740000012,200
BAJAJ-AUTO-M&M,-12173.242999999999,445,-12049.424249999998,172,-10242.479499999998,197
PERSISTENT-TATAELXSI,-7520.272150000037,398,-1770.65689999998,181,-4979.094350000004,215
JSWENERGY-TATAPOWER,-7024.991375000029,313,-8219.012949999953,181,-2918.885275000015,190
INDIANB-SBIN,-15168.005774999929,393,-5355.566599999969,192,-2350.4744999999402,205
CDSL-MAZDOCK,-7940.0732499999585,253,-12169.441499999997,178,-14530.721349999936,182
GAIL-IOC,-29698.31277000009,473,-8429.777749999981,189,-10164.63665999998,206
BDL-IRFC,-22244.143799999918,358,-8315.563850000024,204,-11501.51654999999,201
BANKINDIA-RECLTD,-16208.973694999997,249,-14284.549830000005,178,-12235.692735000011,182
BHEL-MAZDOCK,-18237.039804999884,269,-22792.88244,182,-22646.211330000002,182
HINDZINC-TATASTEEL,-31946.18947499983,491,-21066.270399999994,178,-16722.91582500002,184
CENTRALBK-MAHABANK,-9605.810019999863,556,-2546.4872199999527,229,-5641.927790000008,260
GODREJPROP-NBCC,-12340.13679999992,378,-8498.792549999955,198,-9086.235499999962,200
PFC-TATAPOWER,-21820.804300000014,286,-7220.379825000005,173,-12726.480925000003,175
M&M-TMPV,-15726.497099999953,280,-16572.21650000002,186,-13961.14639999999,191
HUDCO-RVNL,-6810.53340500001,343,-8285.813499999946,204,-7112.3707599999325,208
CENTRALBK-IOB,-3609.5164799999657,462,196.03389499995683,285,-1593.3868949999778,287
PNB-RECLTD,-16225.027595000043,248,-14585.012595000015,172,-14362.743015000007,173
BANKINDIA-MAHABANK,-21974.153010000013,505,-12504.65317999997,191,-16439.532125000012,248
ABB-SIEMENS,-23289.71500000001,352,-13992.686250000006,200,-15632.395999999999,213
IRCON-MAZDOCK,-21536.745335000098,307,-16330.208284999986,204,-13984.663944999964,199
ABCAPITAL-IREDA,-5805.448725000049,265,-8498.067299999952,185,-8848.908649999961,186
CDSL-RVNL,-15493.775949999881,318,-17203.561349999974,191,-20173.45685000001,186
CANBK-IREDA,-18851.895879999945,256,-19640.73598999996,195,-18405.32134000001,189
HEROMOTOCO-MARUTI,-24612.348499999993,555,-8213.846999999998,197,-8244.947249999994,222
NBCC-PFC,-31897.376739999978,347,-19836.816370000044,196,-19546.06350000004,195
CANBK-CENTRALBK,-15811.859125000114,262,-25985.53386000006,188,-22413.95994500003,199
HCLTECH-MPHASIS,-16548.749299999938,406,-2131.250599999893,229,-4830.708399999939,247
CENTRALBK-PNB,-24.883625000013126,282,9804.098194999988,214,8249.655039999998,221
BDL-SUZLON,-31831.730199999958,316,-16111.591799999947,191,-14713.433200000005,197
JIOFIN-MAZDOCK,-20653.86789000001,246,-17904.336185000026,177,-18333.459010000057,178
LTM-TCS,-2553.6967000000195,445,-1716.9332500000164,221,-1049.0652500000324,226
JINDALSTEL-NATIONALUM,-26017.517199999973,611,-21397.309299999994,207,-15834.42534999996,220
LTM-WIPRO,-4408.992049999988,404,-4832.145349999979,193,-2111.1001500000475,201
BANKINDIA-IREDA,-17491.404635000006,250,-13119.081694999997,170,-13140.307210000034,176
HDFCBANK-ICICIBANK,-11977.205199999924,382,-1681.2373000000462,200,-5020.821600000039,212
IRFC-RITES,-14062.526980000053,383,-9172.217040000032,255,-9222.625800000056,268
INFY-LTM,-29609.71199999997,491,-9044.131899999866,211,-13950.575499999859,234
BANKBARODA-RECLTD,-10604.915325000069,253,-11764.133010000003,175,-12336.183419999998,173
BEL-BHEL,-15074.987600000053,304,-7140.973175000076,187,-9781.592200000057,188
TATAELXSI-TATATECH,-9461.368899999976,409,-19317.49339999992,200,-11334.265999999963,253
NTPC-TATAPOWER,-9195.833250000014,308,2881.4895750000323,200,1605.1729999999206,227
BANKINDIA-RBLBANK,-11930.913680000005,295,-8085.724094999903,186,-13080.44524500004,189
HCLTECH-LTM,-20545.360049999887,544,-10090.69615,228,-10828.56214999996,242
OFSS-TECHM,-15014.884999999997,320,-8496.726499999993,185,-5620.188999999997,191
RAILTEL-RITES,639.2222049999673,415,-5269.367920000094,283,-6734.417544999969,332
JINDALSTEL-SAIL,-26097.15854999985,550,-19327.234549999914,226,-21995.123200000064,227
BEML-DATAPATTNS,-9772.085499999945,298,889.2537999999859,199,-7141.906699999998,202
DLF-IRFC,-6766.412324999927,377,-4571.69970000002,201,-5356.018749999973,227
OFSS-WIPRO,-20753.286500000002,393,-7784.734249999984,191,-8762.024500000003,198
ADANIGREEN-IREDA,-11425.159275000027,284,-11497.319199999984,193,-9358.697125,197
IREDA-SJVN,-11063.240375000008,247,-3687.7431049999614,213,-5829.330490000038,210
ETERNAL-SWIGGY,-8477.884799999898,476,-3973.969694999898,198,1377.0611450000233,224
DLF-RECLTD,-16073.231250000015,259,-15804.87822500004,194,-17141.541175000035,195
DLF-JIOFIN,-20190.817825000024,559,-8904.365450000007,241,-9197.099899999968,246
INOXWIND-JIOFIN,-35564.666775000085,526,-17474.080545000033,185,-21604.24551000001,207
ADANIENSOL-TATAPOWER,-21259.725925000017,283,-31981.57112499998,167,-30422.10477500001,171
INOXWIND-RECLTD,-26666.61919000004,251,-25091.336885000004,174,-24612.565965000005,175
CENTRALBK-UCOBANK,1681.2999649999074,481,5558.97543999992,316,1485.9636699998682,360
GAIL-TATAPOWER,-15414.982140000073,292,-10543.596195000018,181,-14659.04676,195
MPHASIS-TATAELXSI,-16046.860399999878,396,-10970.386549999932,219,-11094.602049999965,221
MAZDOCK-ZENTEC,-28423.22449999982,340,-27842.568950000015,207,-26967.185849999994,211
IRCTC-IREDA,-9525.844125000007,302,-15066.507649999963,202,-13644.463649999958,201
JIOFIN-SUZLON,-22947.71364500001,294,-11360.263710000023,178,-9566.110965000045,183
