pair,hl_max_std,hl_medoid_std,regime_stable
BDL-MAZDOCK,2054.55,787.33,False
BDL-NBCC,12273.93,1297.94,False
BDL-RVNL,163.32,496.54,False
BDL-SOLARINDS,2192.04,175.28,False
BDL-SUZLON,913.61,710.37,False
BDL-ZENTEC,1209.73,681.76,False
BEL-BHEL,2086.28,323.85,False
BEL-COCHINSHIP,828.11,208.94,False
BEL-DATAPATTNS,576.08,329.44,False
BEL-GRSE,621.86,296.91,False
BEL-HAL,501.03,218.58,False
BEL-IRFC,99.38,243.19,False
BEL-JIOFIN,844.93,562.53,False
BEL-MAZDOCK,1438.53,836.84,False
BEL-NBCC,428.55,357.26,False
BEL-RVNL,276.95,309.88,False
BEL-SOLARINDS,140.14,66.41,False
BEML-COCHINSHIP,477.86,158.88,False
BEML-DATAPATTNS,1365.21,166.89,False
BEML-GRSE,438.88,150.0,False
BEML-IRCON,113.61,60.72,False
BEML-MAZDOCK,1160.38,591.58,False
BHARATFORG-MOTHERSON,469.74,195.64,False
BHEL-INOXWIND,5499.78,533.14,False
BHEL-IREDA,620.48,261.5,False
BHEL-IRFC,1259.19,396.89,False
BHEL-MAZDOCK,4307.35,679.22,False
BHEL-NBCC,2274.93,223.34,False
BHEL-RVNL,1763.78,324.7,False
BHEL-SUZLON,4281.85,243.42,False
BIOCON-LAURUSLABS,948.08,368.94,False
BPCL-HINDPETRO,700.83,185.92,False
BPCL-IOC,275.76,119.6,False
BSE-CDSL,2291.86,721.51,False
BSE-IREDA,1628.26,484.3,False
BSE-JIOFIN,991.06,337.15,False
BSE-MCX,703.38,443.68,False
CAMS-CDSL,353.67,65.59,False
CAMS-IREDA,298.5,287.16,False
CANBK-CENTRALBK,693.81,100.17,False
CANBK-FEDERALBNK,426.89,381.87,False
CANBK-IDFCFIRSTB,825.31,65.52,False
CANBK-INDIANB,500.44,479.8,False
CANBK-IREDA,432.83,394.97,False
CANBK-IRFC,405.12,68.19,False
CANBK-JIOFIN,868.48,343.36,False
CANBK-LTF,403.03,158.7,False
CANBK-MAHABANK,1064.92,363.12,False
CANBK-NBCC,621.42,335.44,False
CANBK-PFC,15243.65,120.77,False
CANBK-PNB,125.43,123.14,False
CANBK-RBLBANK,669.4,410.24,False
CANBK-RECLTD,80369.23,82.82,False
CANBK-SBIN,5889.79,271.66,False
CANBK-UNIONBANK,211.45,507.34,False
CANBK-YESBANK,2242.68,329.0,False
CDSL-DLF,1087.44,250.94,False
CDSL-HDFCAMC,1127.26,193.43,False
CDSL-HUDCO,869.01,668.65,False
CDSL-INOXWIND,1729.35,192.83,False
CDSL-IREDA,898.93,238.53,False
CDSL-IRFC,307.98,265.59,False
CDSL-JIOFIN,972.22,489.23,False
CDSL-KFINTECH,309.12,231.77,False
CDSL-LTF,2775.45,445.63,False
CDSL-MAZDOCK,570.77,174.06,False
CDSL-MCX,184.36,62.02,False
CDSL-NBCC,2990.12,94.36,False
CDSL-PFC,2907.08,146.05,False
CDSL-RECLTD,3526.86,195.7,False
CDSL-RVNL,1019.74,263.42,False
CDSL-SUZLON,1289.48,308.12,False
CDSL-TATAPOWER,289.06,253.12,False
CENTRALBK-IOB,769.58,207.4,False
CENTRALBK-MAHABANK,74929.91,111.44,False
CENTRALBK-PNB,34453.53,77.85,False
CENTRALBK-UCOBANK,12443.16,69.62,False
CENTRALBK-UNIONBANK,1022.15,157.84,False
CGPOWER-HAL,785.12,108.84,False
CGPOWER-IREDA,6473.67,229.88,False
CGPOWER-MAZDOCK,3656.26,291.3,False
CGPOWER-NBCC,1440.75,184.0,False
CGPOWER-RVNL,626.63,181.88,False
CHENNPETRO-MRPL,226.58,181.88,False
CHOLAFIN-SHRIRAMFIN,2747.34,243.56,False
COCHINSHIP-DATAPATTNS,412.41,178.86,False
COCHINSHIP-GRSE,205.03,87.55,False
COCHINSHIP-HAL,464.79,361.29,False
COCHINSHIP-IRCON,3558.52,279.03,False
COCHINSHIP-IREDA,4810.71,301.26,False
COCHINSHIP-IRFC,242.05,237.32,False
COCHINSHIP-MAZDOCK,662.17,143.73,False
COCHINSHIP-NBCC,2486.46,335.04,False
COCHINSHIP-RVNL,1283.44,179.96,False
COCHINSHIP-ZENTEC,1398.66,180.76,False
COFORGE-HCLTECH,9481.63,311.48,False
COFORGE-INFY,1189.35,954.48,False
COFORGE-KPITTECH,1670.57,552.94,False
COFORGE-LTM,1160.02,41.67,False
COFORGE-MPHASIS,936.49,146.87,False
COFORGE-OFSS,1488.01,109.47,False
COFORGE-PERSISTENT,1817.42,192.91,False
COFORGE-TATAELXSI,14171.47,813.29,False
COFORGE-TATATECH,2509.43,757.23,False
COFORGE-TCS,1387.42,695.47,False
COFORGE-TECHM,1511.88,385.84,False
COFORGE-WIPRO,977.79,393.75,False
CONCOR-IREDA,5366.54,191.25,False
DATAPATTNS-GRSE,14805.48,78.52,False
DATAPATTNS-HAL,2414.48,166.03,False
DATAPATTNS-MAZDOCK,4175.09,88.31,False
DIVISLAB-LAURUSLABS,586.08,117.1,False
DIXON-KALYANKJIL,3190.4,359.6,False
DIXON-KAYNES,3549.47,182.85,False
DLF-GODREJPROP,491.86,118.17,False
DLF-IREDA,2275.37,344.62,False
DLF-IRFC,832.05,112.74,False
DLF-JIOFIN,2088.9,309.32,False
DLF-LODHA,1591.38,158.6,False
DLF-MAZDOCK,1037.94,194.01,False
DLF-NBCC,450.07,139.78,False
DLF-OBEROIRLTY,825.66,222.34,False
DLF-PFC,1625.64,613.31,False
DLF-PHOENIXLTD,514.52,367.93,False
DLF-PRESTIGE,126.7,51.88,False
DLF-RECLTD,840.22,346.12,False
DLF-RVNL,21548.99,244.88,False
EICHERMOT-HEROMOTOCO,2117.74,463.05,False
EICHERMOT-M&M,3166.09,288.54,False
EICHERMOT-MARUTI,4097.96,286.31,False
EICHERMOT-TVSMOTOR,353.42,175.35,False
ETERNAL-SWIGGY,629.12,84.43,False
EXIDEIND-IREDA,882.61,356.45,False
EXIDEIND-NBCC,868.24,305.11,False
GAIL-IOC,5784.38,347.39,False
GAIL-TATAPOWER,177.89,143.75,False
GLENMARK-LAURUSLABS,1154.73,33.09,False
GLENMARK-ZYDUSLIFE,199.53,153.5,False
GMRAIRPORT-IREDA,311.88,157.13,False
GMRAIRPORT-NBCC,689.06,113.94,False
GODREJPROP-IREDA,3848.71,1311.05,False
GODREJPROP-IRFC,4311.52,889.54,False
GODREJPROP-LODHA,440.97,96.6,False
GODREJPROP-NBCC,8301.87,958.42,False
GODREJPROP-OBEROIRLTY,577.69,282.76,False
GODREJPROP-PHOENIXLTD,1578.44,751.45,False
GODREJPROP-PRESTIGE,972.27,177.86,False
GRAPHITE-HEG,296.74,372.21,False
GRSE-HAL,341.49,90.96,False
GRSE-IRCON,107.75,168.93,False
GRSE-IRFC,292.45,147.77,False
GRSE-MAZDOCK,789.68,265.95,False
GRSE-NBCC,362.33,301.97,False
GRSE-RVNL,327.25,243.02,False
GRSE-ZENTEC,221.89,282.79,False
HAL-IREDA,3344.46,230.16,False
HAL-IRFC,785.19,258.86,False
HAL-MAZDOCK,2658.02,462.28,False
HAL-NBCC,773.98,333.08,False
HAL-RVNL,3871.78,251.54,False
HAL-SOLARINDS,401.29,285.69,False
HCLTECH-INFY,744.0,137.41,False
HCLTECH-LTM,150.8,107.86,False
HCLTECH-MPHASIS,323.92,123.63,False
HCLTECH-OFSS,391.45,87.84,False
HCLTECH-PERSISTENT,591.21,139.26,False
HCLTECH-TATAELXSI,4208.9,131.79,False
HCLTECH-TCS,257.86,145.72,False
HCLTECH-TECHM,1158.57,148.67,False
HCLTECH-WIPRO,779.69,261.89,False
HDFCBANK-ICICIBANK,627.95,212.41,False
HDFCLIFE-SBILIFE,141.56,148.67,False
HEROMOTOCO-M&M,822.83,79.26,False
HEROMOTOCO-MARUTI,347.75,314.58,False
HEROMOTOCO-MOTHERSON,569.96,262.58,False
HEROMOTOCO-TMPV,719.49,244.44,False
HEROMOTOCO-TVSMOTOR,3988.19,375.58,False
HINDALCO-HINDZINC,1515.86,562.63,False
HINDALCO-JINDALSTEL,367.09,267.68,False
HINDALCO-JSWSTEEL,708.24,89.4,False
HINDALCO-NATIONALUM,202.14,187.47,False
HINDALCO-NMDC,12689.03,141.3,False
HINDALCO-TATASTEEL,1160.05,143.44,False
HINDALCO-VEDL,128.12,175.69,False
HINDCOPPER-HINDZINC,2122.63,363.62,False
HINDCOPPER-NATIONALUM,854.82,320.48,False
HINDCOPPER-VEDL,3247.57,415.03,False
HINDPETRO-IOC,460.69,271.55,False
HINDZINC-JINDALSTEL,13464.78,322.34,False
HINDZINC-NATIONALUM,1543.83,382.61,False
HINDZINC-NMDC,1816.78,498.22,False
HINDZINC-TATASTEEL,1640.34,656.43,False
HINDZINC-VEDL,860.78,288.56,False
HUDCO-INOXWIND,251.12,378.69,False
HUDCO-IREDA,390.4,196.33,False
HUDCO-IRFC,320.88,234.24,False
HUDCO-NBCC,494.44,248.86,False
HUDCO-PFC,1998.35,220.64,False
HUDCO-RECLTD,624.79,204.34,False
HUDCO-RVNL,927.55,342.5,False
IDEA-INDUSTOWER,26532.88,286.72,False
IDFCFIRSTB-PNB,1281.61,307.21,False
INDHOTEL-IREDA,1657.72,288.91,False
INDHOTEL-JIOFIN,399.96,206.93,False
INDIANB-PNB,1004.48,128.4,False
INDIANB-SBIN,8061.43,279.76,False
INDIANB-UNIONBANK,1307.08,54.22,False
INFY-LTM,3498.31,180.88,False
INFY-MPHASIS,519.03,72.06,False
INFY-OFSS,294.22,190.1,False
INFY-PERSISTENT,40.02,234.02,False
INFY-TATAELXSI,9450.75,132.53,False
INFY-TCS,535.82,40.37,False
INFY-TECHM,1036.74,373.5,False
INFY-WIPRO,714.03,232.11,False
INOXWIND-IRCON,1855.99,156.41,False
INOXWIND-IREDA,1665.9,705.17,False
INOXWIND-IRFC,1459.18,278.11,False
INOXWIND-JIOFIN,1001.8,241.87,False
INOXWIND-MAZDOCK,24584.02,294.83,False
INOXWIND-NBCC,1132.5,118.69,False
INOXWIND-RECLTD,2773.67,839.52,False
INOXWIND-RVNL,2742.97,1127.13,False
INOXWIND-SUZLON,1341.76,282.56,False
IOB-MAHABANK,1771.2,173.03,False
IOC-PETRONET,704.54,219.93,False
IRCON-IREDA,1646.39,83.12,False
IRCON-IRFC,38.44,41.47,False
IRCON-JWL,1187.0,56.91,False
IRCON-MAZDOCK,7576.23,461.31,False
IRCON-NBCC,1204.55,689.6,False
IRCON-RAILTEL,108.85,48.25,False
IRCON-RITES,20.37,38.16,False
IRCON-RVNL,2408.95,85.74,False
IRCON-TITAGARH,1085.13,406.05,False
IRCTC-IREDA,352.22,344.48,False
IRCTC-IRFC,340.42,164.68,False
IRCTC-RVNL,93.58,104.39,False
IREDA-IRFC,180.06,145.84,False
IREDA-JIOFIN,563.56,236.36,False
IREDA-JSWENERGY,58.66,200.4,False
IREDA-JWL,960.61,67.09,False
IREDA-LICHSGFIN,385.36,163.77,False
IREDA-LTF,203.79,210.33,False
IREDA-MAZDOCK,404.59,109.15,False
IREDA-NBCC,374.71,497.45,False
IREDA-NHPC,148.84,65.4,False
IREDA-PFC,2951.8,100.07,False
IREDA-PNB,804.95,166.94,False
IREDA-RAILTEL,298.08,100.68,False
IREDA-RECLTD,438.33,116.28,False
IREDA-RVNL,128.58,122.05,False
IREDA-SJVN,212.34,116.37,False
IREDA-SUZLON,644.21,143.21,False
IREDA-TATAPOWER,507.68,203.79,False
IREDA-TITAGARH,289.3,158.73,False
IRFC-JIOFIN,99303.97,367.87,False
IRFC-JWL,693.59,160.01,False
IRFC-MAZDOCK,9134.51,133.4,False
IRFC-NBCC,6248.28,1115.19,False
IRFC-NHPC,412.45,196.95,False
IRFC-PFC,399.36,114.19,False
IRFC-RAILTEL,131.63,77.65,False
IRFC-RECLTD,250.88,208.43,False
IRFC-RITES,46.7,61.87,False
IRFC-RVNL,237.12,165.91,False
IRFC-SJVN,1960.43,113.58,False
IRFC-SUZLON,3648.43,382.22,False
IRFC-TATAPOWER,14312.06,156.17,False
IRFC-TITAGARH,872.75,262.2,False
JBCHEPHARM-TORNTPHARM,126.4,16.79,False
JBMA-OLECTRA,482.35,254.85,False
JINDALSTEL-JSWSTEEL,183.68,50.29,False
JINDALSTEL-NATIONALUM,1127.15,262.05,False
JINDALSTEL-NMDC,3811.86,246.12,False
JINDALSTEL-SAIL,176.42,152.27,False
JINDALSTEL-TATASTEEL,223.65,193.13,False
JINDALSTEL-VEDL,2908.11,97.73,False
JIOFIN-LT,887.19,184.52,False
JIOFIN-LTF,355.59,211.66,False
JIOFIN-MAZDOCK,971.19,412.15,False
JIOFIN-NBCC,565.43,330.36,False
JIOFIN-PFC,1577.73,404.18,False
JIOFIN-PNB,1868.92,516.86,False
JIOFIN-RECLTD,775.11,484.99,False
JIOFIN-RELIANCE,164.89,225.35,False
JIOFIN-RVNL,5734.71,399.91,False
JIOFIN-SUZLON,413.41,374.42,False
JIOFIN-TATAPOWER,326.37,261.88,False
JIOFIN-TMPV,651.3,464.96,False
JSWENERGY-NHPC,218.69,190.79,False
JSWENERGY-TATAPOWER,969.8,371.42,False
JSWSTEEL-NMDC,2293.88,321.29,False
JSWSTEEL-TATASTEEL,239.29,405.79,False
JWL-MAZDOCK,1370.58,88.76,False
JWL-RAILTEL,136.38,29.28,False
JWL-RITES,144.18,137.39,False
JWL-RVNL,4842.89,72.71,False
JWL-TITAGARH,140.48,112.47,False
KAYNES-PGEL,1261.11,323.52,False
KEI-POLYCAB,129.32,20.92,False
KPITTECH-MPHASIS,167.78,159.23,False
KPITTECH-OFSS,1639.44,264.85,False
KPITTECH-PERSISTENT,523.64,316.76,False
KPITTECH-TATAELXSI,335.49,403.38,False
KPITTECH-TCS,1014.91,382.05,False
LAURUSLABS-ZYDUSLIFE,1120.21,350.64,False
LICHSGFIN-RECLTD,692.03,306.99,False
LODHA-NBCC,1274.7,616.79,False
LODHA-OBEROIRLTY,1076.41,407.2,False
LODHA-PHOENIXLTD,1833.38,143.62,False
LODHA-PRESTIGE,250.63,103.5,False
LTF-RECLTD,517.71,74.73,False
LTF-SHRIRAMFIN,506.27,65.04,False
LTM-MPHASIS,811.8,27.73,False
LTM-OFSS,767.18,122.88,False
LTM-PERSISTENT,3158.46,193.37,False
LTM-TATAELXSI,964.6,47.73,False
LTM-TCS,104.6,166.78,False
LTM-TECHM,1318.2,185.0,False
LTM-WIPRO,4216.72,140.2,False
LUPIN-ZYDUSLIFE,296.7,92.78,False
M&M-MARUTI,75.43,162.74,False
M&M-TMPV,625.75,214.05,False
M&M-TVSMOTOR,414.5,80.09,False
MAHABANK-PNB,280.74,265.17,False
MAHABANK-UNIONBANK,177.49,91.04,False
MANAPPURAM-MUTHOOTFIN,6762.85,270.18,False
MARUTI-TMPV,194.26,208.48,False
MARUTI-TVSMOTOR,417.24,191.62,False
MAZDOCK-NBCC,2291.93,194.53,False
MAZDOCK-RECLTD,390.81,239.82,False
MAZDOCK-RVNL,1100.48,189.9,False
MAZDOCK-SOLARINDS,680.35,161.8,False
MAZDOCK-SUZLON,391.12,200.53,False
MAZDOCK-TITAGARH,1013.03,290.25,False
MAZDOCK-ZENTEC,485.04,303.57,False
MOTHERSON-TMPV,106.29,130.15,False
MPHASIS-OFSS,805.77,68.82,False
MPHASIS-PERSISTENT,733.24,227.41,False
MPHASIS-TATAELXSI,129.72,117.06,False
MPHASIS-TCS,190.61,179.37,False
MPHASIS-TECHM,1331.84,145.62,False
MPHASIS-WIPRO,125.81,150.48,False
NATIONALUM-NMDC,5122.37,480.61,False
NATIONALUM-TATASTEEL,315.09,220.12,False
NATIONALUM-VEDL,406.89,412.66,False
NBCC-PFC,2124.51,108.21,False
NBCC-RAILTEL,246.49,123.37,False
NBCC-RECLTD,638.32,151.49,False
NBCC-RVNL,3727.43,312.11,False
NBCC-SUZLON,265.66,604.13,False
NBCC-TATAPOWER,883.17,266.35,False
NBCC-TITAGARH,112.44,183.77,False
NHPC-TATAPOWER,1346.24,240.86,False
NMDC-SAIL,285.58,284.93,False
NMDC-TATASTEEL,322.18,254.76,False
NMDC-VEDL,551.93,296.08,False
NTPC-POWERGRID,2421.0,33.19,False
NTPC-TATAPOWER,5541.41,102.88,False
OBEROIRLTY-PRESTIGE,14377.51,253.02,False
OFSS-PERSISTENT,1201.12,449.48,False
OFSS-TATAELXSI,136.54,184.67,False
OFSS-TCS,3817.81,310.22,False
OFSS-TECHM,438.9,224.91,False
OFSS-WIPRO,1372.81,206.03,False
OIL-ONGC,1349.06,678.09,False
PERSISTENT-TATAELXSI,819.91,119.68,False
PERSISTENT-TCS,912.99,378.26,False
PERSISTENT-TECHM,246.64,159.52,False
PERSISTENT-WIPRO,670.05,234.51,False
PFC-PNB,1038.18,244.07,False
PFC-RECLTD,505.87,158.56,False
PFC-RVNL,13751.54,263.25,False
PFC-TATAPOWER,7412.0,151.67,False
PHOENIXLTD-PRESTIGE,628.53,406.04,False
PNB-RBLBANK,1161.16,283.44,False
PNB-RECLTD,8749.9,494.32,False
PNB-SBIN,1971.96,127.0,False
PNB-UNIONBANK,925.4,285.04,False
PNB-YESBANK,3197.4,124.0,False
POWERGRID-TATAPOWER,231.54,34.26,False
PREMIERENE-WAAREEENER,355.09,62.22,False
RAILTEL-RITES,46.07,25.29,False
RAILTEL-RVNL,65.79,48.48,False
RAILTEL-TITAGARH,383.79,34.8,False
RECLTD-RVNL,796.6,417.53,False
RECLTD-SUZLON,2973.66,310.28,False
RECLTD-TATAPOWER,3220.43,288.75,False
RECLTD-UNIONBANK,12252.8,192.59,False
RITES-RVNL,118.68,66.45,False
RVNL-SUZLON,5219.18,1069.97,False
RVNL-TITAGARH,499.32,64.53,False
SAIL-TATASTEEL,2170.1,243.59,False
SBIN-UNIONBANK,2000.94,399.86,False
TATAELXSI-TATATECH,3841.12,124.89,False
TATAELXSI-TCS,2551.49,117.79,False
TATAELXSI-TECHM,1555.28,452.88,False
TATAELXSI-WIPRO,2704.31,146.05,False
TATASTEEL-VEDL,1515.15,468.72,False
TCS-TECHM,1720.75,284.67,False
TCS-WIPRO,7386.92,170.19,False
TECHM-WIPRO,257.44,493.83,False
UNIONBANK-YESBANK,346.51,289.25,False
