symbol_a,symbol_b,pearson_rho
BHARATFORG,MOTHERSON,0.361522
GLENMARK,LAURUSLABS,0.361269
NBCC,TITAGARH,0.360982
HEROMOTOCO,MOTHERSON,0.360873
JIOFIN,LTF,0.360745
INFY,TATAELXSI,0.360739
AUROPHARMA,LUPIN,0.360722
BEL,SOLARINDS,0.360497
LODHA,PHOENIXLTD,0.360464
HINDCOPPER,VEDL,0.360432
CGPOWER,MAZDOCK,0.360231
JIOFIN,RELIANCE,0.360168
HAL,IREDA,0.360031
CDSL,TATAPOWER,0.359978
IRCTC,RVNL,0.359951
HEROMOTOCO,TMPV,0.359804
UNIONBANK,YESBANK,0.359789
CDSL,LTF,0.359747
CHOLAFIN,SHRIRAMFIN,0.359591
COCHINSHIP,IRFC,0.359552
BSE,JIOFIN,0.359357
CDSL,SUZLON,0.359281
BANKBARODA,MAHABANK,0.359164
DLF,PFC,0.359143
CAMS,IREDA,0.359083
GLENMARK,ZYDUSLIFE,0.359061
BDL,ZENTEC,0.358913
ABCAPITAL,CDSL,0.358797
CDSL,HDFCAMC,0.358781
JIOFIN,TMPV,0.358775
BHEL,RVNL,0.358772
BDL,IRCON,0.358649
DIXON,KALYANKJIL,0.358192
ADANIENT,NBCC,0.357965
BANKINDIA,IDBI,0.357964
LTF,RECLTD,0.3579
HUDCO,INOXWIND,0.357764
BEML,IRCON,0.357441
BANKINDIA,LTF,0.357226
CANBK,IRFC,0.357155
IOB,MAHABANK,0.357127
IDFCFIRSTB,PNB,0.356879
BDL,JIOFIN,0.356868
CANBK,LTF,0.356793
HAL,IRFC,0.356724
HCLTECH,TATAELXSI,0.356585
JSWENERGY,NHPC,0.356549
INDHOTEL,JIOFIN,0.356464
BEL,JIOFIN,0.356445
CANBK,IDFCFIRSTB,0.356411
ADANIENSOL,JSWENERGY,0.356162
AUROPHARMA,ZYDUSLIFE,0.356069
GRSE,NBCC,0.35604
JWL,MAZDOCK,0.356011
ABCAPITAL,PFC,0.355919
BANKBARODA,PFC,0.35573
JWL,RITES,0.355529
IREDA,JSWENERGY,0.35542
KPITTECH,TCS,0.35542
DIVISLAB,LAURUSLABS,0.355191
GMRAIRPORT,NBCC,0.355108
JIOFIN,LT,0.355064
EXIDEIND,IREDA,0.355026
GRSE,IRCON,0.354843
DLF,MAZDOCK,0.354766
BHEL,IRFC,0.354557
CGPOWER,IREDA,0.35391
GODREJPROP,IRFC,0.353756
ADANIPOWER,ATGL,0.353592
INDHOTEL,IREDA,0.353571
CANBK,FEDERALBNK,0.353418
BIOCON,LAURUSLABS,0.353273
EXIDEIND,NBCC,0.35311
GRSE,IRFC,0.352736
HINDZINC,JINDALSTEL,0.352664
AMBUJACEM,ULTRACEMCO,0.352639
BANKBARODA,IREDA,0.352542
ADANIPORTS,GMRAIRPORT,0.352505
LODHA,NBCC,0.352478
ABCAPITAL,IRFC,0.352264
ABCAPITAL,PNB,0.351973
MAZDOCK,RAILTEL,0.351694
PFC,UNIONBANK,0.351689
IRFC,PNB,0.35113
BANDHANBNK,CANBK,0.351118
NATIONALUM,SAIL,0.351117
NBCC,NHPC,0.351016
BHEL,HAL,0.350791
GRSE,IREDA,0.350751
BHEL,RECLTD,0.350683
JIOFIN,PAYTM,0.350601
HAVELLS,VOLTAS,0.350587
IRCTC,NBCC,0.350358
NBCC,PNB,0.350352
GAIL,RECLTD,0.350285
BANKBARODA,YESBANK,0.350284
ABCAPITAL,NBCC,0.350271
KAYNES,MAZDOCK,0.350264
GRASIM,ULTRACEMCO,0.350194
IREDA,RITES,0.350161
JIOFIN,SBIN,0.35015
BEL,BEML,0.350114
OBEROIRLTY,PHOENIXLTD,0.349935
IRFC,LODHA,0.349884
BANKBARODA,RBLBANK,0.349848
CENTRALBK,IDBI,0.349759
IREDA,UNIONBANK,0.349644
BSE,IRFC,0.349539
RBLBANK,UNIONBANK,0.349349
LAURUSLABS,LUPIN,0.349244
CANBK,IDBI,0.349204
ADANIGREEN,IRFC,0.349199
BDL,CGPOWER,0.349154
KPITTECH,LTM,0.3491
EXIDEIND,MOTHERSON,0.349045
BEL,IREDA,0.349031
CDSL,GODREJPROP,0.348979
CANBK,J&KBANK,0.348968
CONCOR,IRFC,0.348959
NBCC,NMDC,0.348887
BAJAJ-AUTO,TMPV,0.348615
INDHOTEL,NBCC,0.348525
BANKINDIA,CDSL,0.348439
ADANIENT,MAZDOCK,0.348437
EICHERMOT,TMPV,0.348303
ADANIGREEN,NBCC,0.34827
CDSL,PAYTM,0.348185
IRFC,LTF,0.348105
JWL,NBCC,0.34809
JSWSTEEL,NATIONALUM,0.347714
BEL,LT,0.347694
BHEL,JIOFIN,0.347522
CANBK,DLF,0.347475
HUDCO,JIOFIN,0.347442
HUDCO,MAZDOCK,0.347224
BEML,HAL,0.34719
NHPC,RECLTD,0.347157
IDBI,PNB,0.347155
BANKBARODA,JIOFIN,0.347138
NMDC,RECLTD,0.347052
ANGELONE,IRFC,0.346924
KPITTECH,TATATECH,0.346899
ADANIENT,INOXWIND,0.346694
LTF,NBCC,0.346572
EXIDEIND,IRFC,0.346568
IREDA,NMDC,0.346282
CANBK,CDSL,0.346248
GAIL,IREDA,0.346202
IRCON,SUZLON,0.346193
BANKINDIA,FEDERALBNK,0.346142
BANKBARODA,FEDERALBNK,0.345939
CONCOR,NBCC,0.345847
NHPC,SJVN,0.345807
INOXWIND,PFC,0.345806
IREDA,TMPV,0.345518
DLF,INOXWIND,0.345305
KPITTECH,WIPRO,0.345146
AMBER,PGEL,0.345119
ADANIENSOL,ATGL,0.345079
ABCAPITAL,SHRIRAMFIN,0.345006
BANKINDIA,J&KBANK,0.344978
BANDHANBNK,PNB,0.344939
INDIANB,RECLTD,0.344875
ADANIENT,IRFC,0.344378
LTF,PFC,0.344148
IOC,ONGC,0.344124
SUZLON,TATAPOWER,0.344054
BDL,TITAGARH,0.343817
DLF,INDHOTEL,0.343752
BEML,RVNL,0.343737
ADANIENT,SUZLON,0.343736
DATAPATTNS,ZENTEC,0.343658
HDFCBANK,RELIANCE,0.343344
CAMS,NBCC,0.3433
JSWSTEEL,SAIL,0.343143
IREDA,MOTHERSON,0.343089
IOB,UCOBANK,0.342791
COCHINSHIP,TITAGARH,0.342646
COLPAL,DABUR,0.342585
DLF,SUZLON,0.342355
IEX,IREDA,0.342304
NBCC,PRESTIGE,0.342188
PFC,SUZLON,0.342161
NBCC,VOLTAS,0.342016
INOXWIND,TATAPOWER,0.341991
TMPV,TVSMOTOR,0.341964
MAZDOCK,PFC,0.341846
INDIANB,RBLBANK,0.341827
KPITTECH,TECHM,0.341743
GMRAIRPORT,IRFC,0.341695
HBLENGINE,MAZDOCK,0.341682
ADANIENT,RECLTD,0.341523
COCHINSHIP,JWL,0.341519
BANKINDIA,IDFCFIRSTB,0.341462
NESTLEIND,TATACONSUM,0.341443
LICHSGFIN,PFC,0.341271
M&M,MOTHERSON,0.341239
AMBUJACEM,IREDA,0.341056
IREDA,KALYANKJIL,0.340908
NBCC,SJVN,0.340831
JIOFIN,TATASTEEL,0.340687
HUDCO,SUZLON,0.340639
BPCL,PETRONET,0.34051
BDL,RECLTD,0.340242
GODREJPROP,RECLTD,0.34019
IREDA,PAYTM,0.340158
HAL,INOXWIND,0.340136
ADANIENT,DLF,0.340116
IREDA,LODHA,0.340102
GODREJPROP,JIOFIN,0.340031
INFY,KPITTECH,0.339901
CENTRALBK,INDIANB,0.339801
PNB,UCOBANK,0.339785
DIXON,MAZDOCK,0.339679
JIOFIN,SHRIRAMFIN,0.339438
IDBI,MAHABANK,0.339347
FEDERALBNK,UNIONBANK,0.339306
BLUESTARCO,VOLTAS,0.339189
GODREJPROP,RVNL,0.339174
ADANIENT,RVNL,0.339152
RITES,TITAGARH,0.339023
MAZDOCK,POLYCAB,0.339021
INDIANB,MAHABANK,0.338719
MOTHERSON,TVSMOTOR,0.338692
CANBK,NMDC,0.338492
ADANIENSOL,NHPC,0.338418
HAL,SUZLON,0.338418
BEL,SUZLON,0.338409
IREDA,TATATECH,0.338403
BEL,RECLTD,0.338238
ADANIPORTS,IREDA,0.338213
GAIL,PETRONET,0.338212
HINDPETRO,PETRONET,0.338203
FEDERALBNK,PNB,0.338089
BANKBARODA,IDBI,0.338072
BEL,CGPOWER,0.338051
HAL,RECLTD,0.338007
CDSL,GMRAIRPORT,0.337961
AUROPHARMA,GLENMARK,0.337885
GAIL,IRFC,0.337882
ADANIENT,BHEL,0.337808
SJVN,TATAPOWER,0.337546
BDL,DLF,0.337378
GMRAIRPORT,RVNL,0.337376
HAL,JIOFIN,0.337333
RVNL,TATAPOWER,0.337318
IFCI,IRFC,0.337252
ADANIGREEN,JIOFIN,0.337198
DLF,TATAPOWER,0.337125
LICHSGFIN,NBCC,0.337051
DIXON,IREDA,0.336841
CDSL,DIXON,0.33664
BANDHANBNK,BANKBARODA,0.33659
LAURUSLABS,PPLPHARMA,0.336513
ABCAPITAL,UNIONBANK,0.336485
ABCAPITAL,BANKBARODA,0.336474
CHENNPETRO,IOC,0.336404
MAZDOCK,TATAPOWER,0.336395
IFCI,IREDA,0.336336
ADANIENT,CDSL,0.336066
AMBUJACEM,JIOFIN,0.336009
NBCC,POLYCAB,0.335841
IREDA,PRESTIGE,0.335824
BANKINDIA,DLF,0.335766
ADANIPORTS,TATAPOWER,0.33567
JIOFIN,UNIONBANK,0.335644
CONCOR,RVNL,0.335615
GRSE,TITAGARH,0.335602
INDIANB,IREDA,0.335596
IRFC,LICHSGFIN,0.335529
CANBK,IOC,0.335496
HCLTECH,KPITTECH,0.335415
ABB,CGPOWER,0.335375
CIPLA,DRREDDY,0.335317
CGPOWER,INOXWIND,0.335316
CGPOWER,SUZLON,0.335292
CANBK,RVNL,0.335287
DLF,PNB,0.335252
INOXWIND,RAILTEL,0.335034
NBCC,TMPV,0.334951
BEL,CDSL,0.334944
NBCC,UNIONBANK,0.334926
JSWSTEEL,VEDL,0.334914
ABCAPITAL,LICHSGFIN,0.334797
ADANIGREEN,RECLTD,0.334753
ADANIENT,BDL,0.334744
HUDCO,IRCON,0.33471
BPCL,GAIL,0.334699
BANKINDIA,IOB,0.334681
J&KBANK,PNB,0.334646
GLENMARK,LUPIN,0.334474
GODREJPROP,INOXWIND,0.334455
GAIL,NHPC,0.334448
BANKBARODA,NBCC,0.334313
BEML,NBCC,0.334151
CDSL,INDHOTEL,0.334147
BHEL,PFC,0.334085
CAMS,IRFC,0.333985
CDSL,HAL,0.333924
BAJAJFINSV,JIOFIN,0.333917
CDSL,PNB,0.333913
BANKINDIA,HUDCO,0.333865
CANBK,LICHSGFIN,0.333864
COCHINSHIP,HBLENGINE,0.333843
ADANIENT,GMRAIRPORT,0.333776
ETERNAL,INDHOTEL,0.333678
HBLENGINE,NBCC,0.33366
JIOFIN,MOTHERSON,0.333478
GAIL,HINDPETRO,0.333449
ADANIENSOL,IREDA,0.333327
KALYANKJIL,NBCC,0.333295
IRFC,UNIONBANK,0.333294
ADANIPORTS,CONCOR,0.333171
BANDHANBNK,IREDA,0.333165
ADANIPORTS,NBCC,0.333145
HBLENGINE,RVNL,0.332797
LT,RELIANCE,0.33276
HDFCLIFE,ICICIPRULI,0.332757
BEL,INOXWIND,0.332691
HINDALCO,HINDCOPPER,0.332663
MOTHERSON,NBCC,0.332436
OFSS,TATATECH,0.33241
ADANIGREEN,CDSL,0.33234
BEML,IREDA,0.332338
NBCC,RITES,0.332283
IDBI,UNIONBANK,0.332272
ADANIENT,ATGL,0.332199
DLF,HUDCO,0.332173
ADANIENT,BEL,0.332167
CDSL,IRCON,0.332005
COCHINSHIP,INOXWIND,0.331987
CENTRALBK,J&KBANK,0.331873
CANBK,UCOBANK,0.331481
BANKINDIA,UCOBANK,0.331402
HBLENGINE,IREDA,0.331358
INDHOTEL,RVNL,0.331354
CGPOWER,JIOFIN,0.331317
MPHASIS,TATATECH,0.33131
IREDA,POLYCAB,0.33131
ADANIGREEN,INOXWIND,0.331288
RECLTD,TMPV,0.33127
GRSE,HBLENGINE,0.33127
AMBUJACEM,NBCC,0.33124
ANGELONE,NBCC,0.331216
GAIL,NBCC,0.33105
GMRAIRPORT,RECLTD,0.33103
BSE,MAZDOCK,0.330957
IOC,MRPL,0.330932
LTF,MANAPPURAM,0.330905
BEML,IRFC,0.330905
IREDA,PGEL,0.330895
IRFC,TMPV,0.330874
IDFCFIRSTB,UNIONBANK,0.33086
BANKINDIA,LICHSGFIN,0.33084
IREDA,YESBANK,0.330684
IRCON,SJVN,0.330651
ICICIBANK,RELIANCE,0.33047
GMRAIRPORT,JIOFIN,0.330368
IRFC,KALYANKJIL,0.33033
GODREJPROP,SUZLON,0.330266
LTF,PNB,0.330209
BANKINDIA,INOXWIND,0.330169
BHARATFORG,HEROMOTOCO,0.33013
NHPC,PFC,0.330123
BANDHANBNK,UNIONBANK,0.330033
GAIL,PFC,0.329978
HDFCAMC,IREDA,0.329954
ADANIGREEN,RVNL,0.329825
IRCON,IRCTC,0.329818
RVNL,SJVN,0.329754
RECLTD,SBIN,0.329638
TATATECH,WIPRO,0.329635
GRSE,SOLARINDS,0.329549
