symbol_a,symbol_b,net_profit,win_rate,trade_count,max_drawdown,gross_profit,total_fees,exit_reasons
COCHINSHIP,DATAPATTNS,0.0,0.0,0,0.0,0.0,0.0,none
ANGELONE,BSE,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,RITES,-424.1045167933441,0.0,1,0.0,-358.7708200000003,65.3336967933438,mr
BANKINDIA,SBIN,0.0,0.0,0,0.0,0.0,0.0,none
SAIL,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
JINDALSTEL,JSWSTEEL,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,HINDZINC,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,IREDA,101.12701817066728,1.0,1,0.0,166.3840000000073,65.25698182934,mr
LODHA,PRESTIGE,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,IREDA,493.24474426310564,1.0,1,0.0,558.7606149999951,65.5158707368895,mr
IRCON,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
JINDALSTEL,NMDC,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
EICHERMOT,HEROMOTOCO,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,PFC,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
NATIONALUM,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
BAJAJ-AUTO,HEROMOTOCO,0.0,0.0,0,0.0,0.0,0.0,none
TATASTEEL,VEDL,0.0,0.0,0,0.0,0.0,0.0,none
OBEROIRLTY,PRESTIGE,0.0,0.0,0,0.0,0.0,0.0,none
NTPC,POWERGRID,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,IRFC,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,HCLTECH,-59.79933073173301,0.0,1,0.0,5.3118000000145,65.11113073174751,mr
BEML,GRSE,1225.2906671825485,1.0,1,0.0,1290.3215000000087,65.03083281746001,mr
HUDCO,NBCC,838.9965158489229,0.4,5,148.65802630915556,1165.7546450000527,326.75812915112976,mr;se
BEL,COCHINSHIP,0.0,0.0,0,0.0,0.0,0.0,none
BEML,COCHINSHIP,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,OFSS,-298.324305482263,0.0,1,0.0,-233.512499999988,64.811805482275,mr
COFORGE,LTM,-25.586165437687256,0.0,1,0.0,39.02415000001474,64.610315437702,mr
BEML,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
JWL,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,ADANIPOWER,0.0,0.0,0,0.0,0.0,0.0,none
MAZDOCK,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
SBIN,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
ANGELONE,CDSL,0.0,0.0,0,0.0,0.0,0.0,none
KAYNES,PGEL,0.0,0.0,0,0.0,0.0,0.0,none
BAJAJ-AUTO,EICHERMOT,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,HAL,0.0,0.0,0,0.0,0.0,0.0,none
PERSISTENT,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
EICHERMOT,TVSMOTOR,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,IRFC,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,AMBUJACEM,0.0,0.0,0,0.0,0.0,0.0,none
HUDCO,IRFC,-2169.6605500180203,0.5555555555555556,9,2975.7573510239504,-1582.2843799999528,587.3761700180675,mr;se
JWL,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
JBMA,OLECTRA,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
PREMIERENE,WAAREEENER,0.0,0.0,0,0.0,0.0,0.0,none
BDL,RVNL,117.88223634675869,1.0,1,0.0,182.71940000000768,64.837163653249,mr
M&M,MARUTI,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
HINDCOPPER,NATIONALUM,0.0,0.0,0,0.0,0.0,0.0,none
MAZDOCK,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,NBCC,-270.439153822022,0.0,3,133.90835837635956,-74.37711499998997,196.06203882203198,mr
CDSL,NBCC,137.0985166106709,1.0,1,0.0,202.3660000000109,65.26748338933999,mr
ACC,AMBUJACEM,0.0,0.0,0,0.0,0.0,0.0,none
NMDC,VEDL,0.0,0.0,0,0.0,0.0,0.0,none
RVNL,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
DIXON,KAYNES,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,PFC,0.0,0.0,0,0.0,0.0,0.0,none
BAJAJ-AUTO,TVSMOTOR,-347.5343528208551,0.5,2,353.77975055471103,-220.33299999999508,127.20135282086,mr
JWL,RAILTEL,0.0,0.0,0,0.0,0.0,0.0,none
OFSS,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
OIL,ONGC,0.0,0.0,0,0.0,0.0,0.0,none
KEI,POLYCAB,0.0,0.0,0,0.0,0.0,0.0,none
LODHA,OBEROIRLTY,0.0,0.0,0,0.0,0.0,0.0,none
MPHASIS,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
BEL,DATAPATTNS,0.0,0.0,0,0.0,0.0,0.0,none
HINDZINC,NMDC,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
MAZDOCK,SOLARINDS,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,NBCC,134.87112933236762,1.0,1,0.0,200.2030800000089,65.3319506676413,mr
BDL,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
MPHASIS,OFSS,0.0,0.0,0,0.0,0.0,0.0,none
M&M,TVSMOTOR,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
KPITTECH,TATAELXSI,0.0,0.0,0,0.0,0.0,0.0,none
PERSISTENT,TCS,0.0,0.0,0,0.0,0.0,0.0,none
INFY,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,NMDC,0.0,0.0,0,0.0,0.0,0.0,none
BDL,BEML,0.0,0.0,0,0.0,0.0,0.0,none
EICHERMOT,M&M,0.0,0.0,0,0.0,0.0,0.0,none
EICHERMOT,MARUTI,0.0,0.0,0,0.0,0.0,0.0,none
DLF,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,TATAELXSI,-93.87281020452303,0.25,8,713.9378258825526,421.2948000000615,515.1676102045844,mr
INOXWIND,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
RECLTD,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
IDEA,INDUSTOWER,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
GRSE,ZENTEC,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,JSWSTEEL,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,JWL,0.0,0.0,0,0.0,0.0,0.0,none
MPHASIS,TCS,0.0,0.0,0,0.0,0.0,0.0,none
BDL,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
NMDC,SAIL,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,RAILTEL,0.0,0.0,0,0.0,0.0,0.0,none
COFORGE,KPITTECH,-138.7569671072315,0.6,5,887.5323052723454,186.98080000002642,325.737767107258,mr
DLF,PHOENIXLTD,0.0,0.0,0,0.0,0.0,0.0,none
DATAPATTNS,HAL,0.0,0.0,0,0.0,0.0,0.0,none
MOTHERSON,TMPV,0.0,0.0,0,0.0,0.0,0.0,none
PERSISTENT,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
JSWSTEEL,NMDC,0.0,0.0,0,0.0,0.0,0.0,none
RECLTD,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,PHOENIXLTD,0.0,0.0,0,0.0,0.0,0.0,none
LTM,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
HEROMOTOCO,M&M,0.0,0.0,0,0.0,0.0,0.0,none
RVNL,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,RVNL,-516.6828741330349,0.0,1,0.0,-451.8463999999949,64.83647413304,mr
IRCTC,IRFC,-716.4723070197473,0.18181818181818182,11,660.3877871289412,1.3458000000549646,717.8181070198023,mr
IRFC,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
ETERNAL,SWIGGY,0.0,0.0,0,0.0,0.0,0.0,none
OFSS,TATAELXSI,0.0,0.0,0,0.0,0.0,0.0,none
DLF,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
BAJAJ-AUTO,M&M,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,MCX,0.0,0.0,0,0.0,0.0,0.0,none
NHPC,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
HUDCO,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
BDL,SOLARINDS,0.0,0.0,0,0.0,0.0,0.0,none
INFY,MPHASIS,0.0,0.0,0,0.0,0.0,0.0,none
LTM,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
HINDZINC,TATASTEEL,0.0,0.0,0,0.0,0.0,0.0,none
BEL,RVNL,-216.33232928944403,0.0,1,0.0,-151.03179999999202,65.300529289452,mr
ADANIENSOL,ADANIPORTS,0.0,0.0,0,0.0,0.0,0.0,none
HAL,RVNL,-253.38787017608098,0.0,1,0.0,-188.12884999999824,65.25902017608276,mr
RITES,RVNL,0.0,0.0,0,0.0,0.0,0.0,none
M&M,TMPV,0.0,0.0,0,0.0,0.0,0.0,none
JSWENERGY,TATAPOWER,483.45361718807476,1.0,1,0.0,548.647750000006,65.19413281193125,mr
IREDA,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
LTM,MPHASIS,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENSOL,ADANIPOWER,0.0,0.0,0,0.0,0.0,0.0,none
MPHASIS,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
ABB,SIEMENS,0.0,0.0,0,0.0,0.0,0.0,none
HEROMOTOCO,MARUTI,0.0,0.0,0,0.0,0.0,0.0,none
IRCON,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
PERSISTENT,TATAELXSI,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
HDFCLIFE,SBILIFE,0.0,0.0,0,0.0,0.0,0.0,none
BDL,IRFC,-262.39472682356137,0.5,2,0.0,-131.79455999999655,130.6001668235648,mr
KAYNES,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
CENTRALBK,MAHABANK,0.0,0.0,0,0.0,0.0,0.0,none
INDIANB,SBIN,0.0,0.0,0,0.0,0.0,0.0,none
GAIL,IOC,0.0,0.0,0,0.0,0.0,0.0,none
AMBER,DIXON,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,CENTRALBK,-264.51024934772687,0.3333333333333333,3,391.2171379364933,-68.40876499999084,196.101484347736,mr
BANKINDIA,MAHABANK,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,PFC,0.0,0.0,0,0.0,0.0,0.0,none
RAILTEL,RITES,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
BDL,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
CENTRALBK,IOB,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
PFC,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
LTM,TCS,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
IRFC,RITES,0.0,0.0,0,0.0,0.0,0.0,none
BHEL,MAZDOCK,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,MPHASIS,0.0,0.0,0,0.0,0.0,0.0,none
HDFCBANK,ICICIBANK,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,CENTRALBK,0.0,0.0,0,0.0,0.0,0.0,none
PNB,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
CAMS,CDSL,0.0,0.0,0,0.0,0.0,0.0,none
CENTRALBK,PNB,0.0,0.0,0,0.0,0.0,0.0,none
ABCAPITAL,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,PFC,0.0,0.0,0,0.0,0.0,0.0,none
LTM,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
INFY,LTM,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,RVNL,137.0985166106709,1.0,1,0.0,202.3660000000109,65.26748338933999,mr
MAZDOCK,ZENTEC,916.0513267868547,1.0,1,0.0,981.0144000000128,64.96307321315801,mr
HUDCO,RVNL,-2101.7317366261186,0.5555555555555556,9,2907.8285376320487,-1514.360434999951,587.3713016261675,mr;se
BANKINDIA,RBLBANK,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,NBCC,0.0,0.0,0,0.0,0.0,0.0,none
NTPC,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
HCLTECH,LTM,0.0,0.0,0,0.0,0.0,0.0,none
INOXWIND,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
OFSS,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
TATAELXSI,TCS,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,IREDA,218.21219368236072,1.0,2,0.0,348.9692750000126,130.75708131765188,mr
BANKBARODA,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
BEML,DATAPATTNS,0.0,0.0,0,0.0,0.0,0.0,none
HAL,NBCC,-1342.171915674699,0.3076923076923077,13,1310.4251184438422,-492.6779849999041,849.4939306747949,mr
TATAELXSI,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
OFSS,WIPRO,0.0,0.0,0,0.0,0.0,0.0,none
DLF,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
ADANIPORTS,AMBUJACEM,0.0,0.0,0,0.0,0.0,0.0,none
BAJFINANCE,CHOLAFIN,-114.74505767434806,0.0,1,0.0,-49.53959999999006,65.205457674358,mr
MPHASIS,TATAELXSI,0.0,0.0,0,0.0,0.0,0.0,none
CENTRALBK,UCOBANK,0.0,0.0,0,0.0,0.0,0.0,none
KPITTECH,MPHASIS,0.0,0.0,0,0.0,0.0,0.0,none
TATAELXSI,TATATECH,0.0,0.0,0,0.0,0.0,0.0,none
OFSS,TCS,0.0,0.0,0,0.0,0.0,0.0,none
JINDALSTEL,NATIONALUM,0.0,0.0,0,0.0,0.0,0.0,none
DLF,IRFC,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
GAIL,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
GMRAIRPORT,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
BAJFINANCE,SHRIRAMFIN,-434.263752249411,0.0,3,366.7646115752981,-238.6536499999778,195.61010224943325,mr
GRSE,RVNL,-3552.9506913167193,0.0,1,0.0,-3487.6543999999994,65.29629131672,mr
INOXWIND,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
BEL,BHEL,0.0,0.0,0,0.0,0.0,0.0,none
BDL,INOXWIND,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,SJVN,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
DLF,RECLTD,0.0,0.0,0,0.0,0.0,0.0,none
POWERGRID,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
RAILTEL,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
KPITTECH,OFSS,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,NHPC,0.0,0.0,0,0.0,0.0,0.0,none
ABCAPITAL,JIOFIN,0.0,0.0,0,0.0,0.0,0.0,none
IRCTC,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENSOL,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
TATAELXSI,TECHM,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,PFC,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
GODREJPROP,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
MAHABANK,PNB,0.0,0.0,0,0.0,0.0,0.0,none
MARUTI,TVSMOTOR,-52.696278664135,0.0,1,0.0,9.5625,62.258778664135,mr
BAJAJ-AUTO,MARUTI,0.0,0.0,0,0.0,0.0,0.0,none
BEL,NBCC,-806.8062218707643,0.0,3,680.7896977395619,-610.8762249999702,195.9299968707941,mr
KPITTECH,PERSISTENT,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,ADANIPOWER,0.0,0.0,0,0.0,0.0,0.0,none
JINDALSTEL,SAIL,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,NHPC,0.0,0.0,0,0.0,0.0,0.0,none
INFY,OFSS,0.0,0.0,0,0.0,0.0,0.0,none
HINDALCO,JINDALSTEL,0.0,0.0,0,0.0,0.0,0.0,none
NBCC,RAILTEL,0.0,0.0,0,0.0,0.0,0.0,none
ADANIENT,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,LICHSGFIN,0.0,0.0,0,0.0,0.0,0.0,none
PNB,YESBANK,-188.8050565755101,0.0,1,0.0,-123.43891499999964,65.36614157551045,sl
BHEL,INOXWIND,0.0,0.0,0,0.0,0.0,0.0,none
CANBK,MAHABANK,0.0,0.0,0,0.0,0.0,0.0,none
ADANIGREEN,JSWENERGY,0.0,0.0,0,0.0,0.0,0.0,none
JIOFIN,TATAPOWER,0.0,0.0,0,0.0,0.0,0.0,none
RECLTD,SUZLON,0.0,0.0,0,0.0,0.0,0.0,none
COCHINSHIP,IREDA,0.0,0.0,0,0.0,0.0,0.0,none
HAL,SOLARINDS,0.0,0.0,0,0.0,0.0,0.0,none
MAHABANK,UNIONBANK,0.0,0.0,0,0.0,0.0,0.0,none
CDSL,DLF,0.0,0.0,0,0.0,0.0,0.0,none
BANKINDIA,PFC,0.0,0.0,0,0.0,0.0,0.0,none
IREDA,PNB,0.0,0.0,0,0.0,0.0,0.0,none
BANKBARODA,CENTRALBK,-255.47662531066803,0.0,1,0.0,-190.14610999999994,65.33051531066809,mr
IREDA,TITAGARH,0.0,0.0,0,0.0,0.0,0.0,none
